STOP_NO,STOP_AREA,CODE,NAME,F_NODE,LINK_NO,INDEX
1,634,1,마장포고개,628,948,2
2,649,2,서당골,634,3385,1
3,3397,3,김소굴,641,599,1
4,5612,4,부평6동행정복지센터,5612,9617,1
5,8517,5,항동7가버스차고지(삼거리),695,3579,1
6,8518,6,항동7가버스차고지(삼거리),695,1843,1
7,557,7,운남초교사거리,557,7107,1
8,6669,8,운남초교사거리,6444,10449,1
9,6586,9,광명항,210,5760,2
10,6594,10,큰무리선착장,145,7116,1
11,7780,11,기점(무의),4808,8813,3
12,7778,12,회차(무의),5234,9239,2
13,7781,13,종점(무의),2181,4560,1
14,4808,14,기점(1-1),2164,4561,1
15,5234,15,회차(1-1),2176,5287,1
16,2181,16,종점(1-1),2181,4560,4
17,9270,17,기점(1-2),4808,8813,2
18,7777,18,회차(1-2),5234,9239,1
19,9272,19,종점(1-2),2181,4560,2
20,517,20,공군8547부대앞,493,3535,2
21,6644,21,공군8547부대앞,517,3840,1
22,5131,22,둥깨마을입구(세븐일레븐),118,5117,1
23,118,23,둥깨마을입구(세븐일레븐),163,5034,2
24,95,24,해뜨는집,92,5033,1
25,4500,25,젓개마을입구,467,3938,1
26,4648,26,카페거리입구,4648,8653,1
27,449,27,카페거리입구,449,1814,1
28,2889,28,부천테크노파크4단지401동,2865,6384,1
29,5951,29,부천테크노파크3단지301동앞,2889,6386,1
30,7802,30,백마농협,2049,2181,1
31,5300,31,정왕IC(미정차),2394,5387,1
32,5907,32,계양구의회,5907,9912,1
33,7886,33,서구영어마을,2034,819,1
34,1130,34,숭의3동(극동아파트),1173,5225,1
35,210,35,광명항(샘꾸미),210,5760,1
36,6585,36,광명항(샘꾸미),177,1157,3
37,5523,37,사시미재,210,5760,3
38,6588,38,사시미재,177,1157,1
39,6590,39,하나개삼거리,177,1156,1
40,6589,40,하나개삼거리,5524,9529,2
41,177,41,구름다리,177,1156,2
42,5524,42,구름다리,5524,9529,1
43,149,43,잠진도,149,7172,1
44,137,44,하나개해수욕장,177,1156,3
45,6591,45,무의도주민자치센터,177,4528,1
46,6592,46,무의도주민자치센터,6490,10495,1
47,6593,47,실미삼거리,177,4528,2
48,143,48,실미삼거리,143,7178,1
49,120,49,실미해수욕장,143,6165,1
50,6702,50,마장포고개,634,2887,1
51,4018,51,가재우물터,4018,8023,1
52,628,52,마장포,628,1054,1
53,610,53,마당개,610,4005,1
54,621,54,만정낚시터,621,2007,1
55,6695,55,만정낚시터입구,621,2007,2
56,599,56,옐림교회앞,601,603,1
57,6694,57,높은마을입구,595,1010,1
58,590,58,긴마루교회입구,590,5254,1
59,5215,59,행복마을입구,5215,9220,1
60,6729,60,삼선1리삼거리,11,4958,1
61,6728,61,삼선1리마을회관,11,4958,2
62,6726,62,삼선2리입구,11,4958,3
63,6724,63,삼선2리마을회관,11,4958,4
64,6720,64,인사리우무렛골,8,5748,1
65,6721,65,인사리마을회관,9,4959,1
66,10,66,인사리군부대앞,9,4959,2
67,6723,67,인사리인현경로당앞,9,4959,3
68,5042,68,인사리군부대앞,10,4960,1
69,6722,69,인사리마을회관,5042,9047,1
70,6719,70,인사리지석교회,9,4961,1
71,9,71,지석리망향단입구,9,4961,2
72,6718,72,지석리마을회관,9,4961,3
73,6,73,지석리오현부락,9,4961,4
74,4,74,무학리입구,6,3968,1
75,8,75,지석초등학교입구,6,5210,1
76,6725,76,삼선2리마을회관,8,7278,1
77,6727,77,삼선2리입구,8,7278,2
78,6555,78,삼선1리마을회관,8,7278,3
79,6730,79,삼선1리삼거리,8,7278,4
80,5204,80,양갑리입구,5204,9209,1
81,6731,81,양갑리마을회관,5204,9209,2
82,6733,82,구정정미소,5204,9209,3
83,6749,83,난정1리마을회관,6533,10538,1
84,6750,84,난곳정미소,6533,10538,2
85,2,85,난정1리마을회관,2,5528,1
86,8495,86,난정교회앞,5,527,1
87,3,87,수정제입구,5,527,3
88,6746,88,동산리입구,5,527,4
89,5205,89,서한리입구,3,5238,1
90,6737,90,샬롬원입구,5205,9210,1
91,6739,91,서한리구마을회관,5205,9210,2
92,6740,92,서한리마을회관,5205,9210,3
93,6738,93,서한리구마을회관,1,3351,1
94,1,94,샬롬원입구,1,3351,2
95,6736,95,서한리입구,1,3351,3
96,6745,96,동산리입구,1,3351,4
97,6742,97,금정골입구,3,4731,2
98,6743,98,동산리마을회관,3,4731,3
99,1023,99,인천옹진농협본점,974,3648,1
100,4927,100,영종장로교회,4927,8932,1
