STOP_NO,STOP_AREA,CODE,NAME,F_NODE,LINK_NO,INDEX
101,6744,101,동산교회,3,4731,4
102,6747,102,모리부락입구,3,4731,5
103,6748,103,난정초등학교입구,3,4731,6
104,6734,104,구정정미소,7,3352,1
105,7,105,양갑리마을회관,7,3352,2
106,6732,106,양갑리입구,7,3352,3
107,5919,107,모름말,5919,9924,1
108,7272,108,어류정입구,34,3971,1
109,7271,109,어류정입구,5823,9828,3
110,7276,110,탑재입구,34,3971,2
111,7275,111,탑재입구,5823,9828,2
112,7277,112,염전사택,34,3971,3
113,5823,113,염전사택,5823,9828,1
114,30,114,염전,34,3971,4
115,7286,115,염전,30,6202,2
116,7288,116,매음3리마을회관(민머루),34,3971,5
117,7287,117,매음3리마을회관(민머루),30,6202,1
118,31,118,어류정항,6301,10306,1
119,7035,119,장암마을,18,5772,1
120,5840,120,개건너,5840,9845,1
121,6984,121,개건너,17,5497,1
122,27,122,상주,5366,9371,1
123,7034,123,장암마을,18,4289,1
124,4995,124,민머루해수욕장,4994,8999,1
125,6976,125,상2리마을회관,17,5496,2
126,6982,126,교회앞,17,5496,1
127,5366,127,상1리마을회관(창말),17,5496,3
128,3011,128,시흥영업소,3011,4409,1
129,4737,129,시흥영업소,3011,4412,1
130,79,130,입구지,86,2482,1
131,7587,131,경동택배,1521,6654,4
132,7586,132,신화슈퍼,1521,6654,5
133,6138,133,성신아크릴산업,6138,10143,1
134,7583,134,두밀경로당,6138,10143,2
135,7582,135,안풍산업삼거리,6138,10143,3
136,7580,136,황곡상회,6138,10143,4
137,58,137,왕산차고지,5133,9138,1
138,163,138,둥깨마을입구(용성철강),5131,9136,1
139,6574,139,둥깨마을입구(용성철강),163,5034,1
140,6573,140,늘목마을입구,98,5115,1
141,7080,141,강화여자중학교,443,6169,1
142,6596,142,잠진도삼거리,144,7176,1
143,6597,143,잠진도삼거리,149,7177,1
144,6598,144,공항회센터,176,7115,1
145,7762,145,검단초등학교,1315,5180,10
146,7763,146,검단초등학교,1521,6654,1
147,7406,147,큰말,53,982,4
148,4086,148,송도파크자이,1300,3065,1
149,7584,149,두밀경로당,1315,5180,4
150,144,150,큰무리선착장,144,7174,1
151,6587,151,광명항,177,1157,2
152,7566,152,덕진사거리,6297,10302,3
153,7022,153,다운,80,1769,1
154,8822,154,운연천,2882,1433,1
155,8249,155,참좋은집,1273,3964,1
156,1245,156,참좋은집,1245,3965,1
157,8488,157,송현주공아파트후문,1076,2832,1
158,2882,158,운연천,4016,8021,1
159,7169,159,나무다리,112,5423,1
160,93,160,고천5리마을회관,93,4926,1
161,17,161,상1리마을회관(창말),27,5482,1
162,6977,162,상2리마을회관,27,5482,2
163,112,163,나무다리,93,4926,2
164,5323,164,고천5리마을회관,5323,9328,1
165,133,165,신선지입구,112,3887,1
166,7164,166,신선지입구,133,4165,1
167,863,167,레이크블루,863,4257,1
169,6983,169,교회앞,27,5482,3
170,414,170,운서역(하워드존슨호텔),414,2643,1
171,263,171,파라다이스시티역,274,10582,1
172,173,172,잠진도입구,173,7120,1
173,6486,173,잠진도입구,6486,10491,1
174,793,174,힐스테이트레이크송도(정문),793,5352,1
175,782,175,힐스테이트레이크송도(후문),793,5352,2
176,8814,176,신천역.문화의거리,5900,9905,1
177,8444,177,송도SK뷰(105동),6042,10047,1
178,881,178,송도SK뷰(105동),881,6521,1
179,813,179,송도SK뷰(101동),881,6310,1
180,6447,180,송도SK뷰(101동),813,7112,1
181,6357,181,우미린2단지정문,6357,10362,1
182,641,182,김소골,640,597,1
183,477,183,미단교회사거리,477,4923,1
184,6640,184,박촌마을입구,493,3535,1
185,493,185,박촌마을입구,4436,8441,1
186,6444,186,영종동행정복지센터,564,7108,1
187,564,187,영종동행정복지센터,557,7107,2
188,669,188,e편한세상영종오션하임,669,4549,1
189,1059,189,미추홀퍼스트(3단지),1059,2945,1
190,1116,190,미추홀퍼스트(2단지),1217,3113,2
191,767,191,e편한세상정문,751,6523,1
192,1352,192,송도파크레인동일하이빌,4086,8091,1
193,6638,193,갤러리84입구,515,5127,1
194,6443,194,뒤골입구,515,7106,1
195,6639,195,뒤골입구,493,7105,1
196,8612,196,송도파크레인동일하이빌,1352,2318,1
197,8611,197,송도파크자이,1352,2318,2
198,9269,198,기점(영흥도),4808,8813,1
199,7776,199,회차(영흥도),2176,5287,2
200,9271,200,종점(영흥도),2181,4560,3
201,7578,201,황곡노인정,1315,5180,1
202,7579,202,황곡상회,1315,5180,2
203,7581,203,안풍산업삼거리,1315,5180,3
204,7585,204,성신아크릴산업,1315,5180,5
205,1521,205,신화슈퍼,1315,5180,6
206,7588,206,경동택배,1315,5180,7
207,7590,207,검단농기구센터,1315,5180,8
208,7766,208,삼라마이다스아파트,1315,5180,9
209,4799,209,쇠골큰말,1170,4540,1
210,1232,210,금곡종점,4799,8804,1
211,1315,211,황곡노인정,6138,10143,5
212,1170,212,쇠골큰말,1232,3700,1
213,7727,213,대림통상,1170,4750,1
214,7767,214,삼라마이다스아파트,1521,6654,2
215,7589,215,검단농기구센터,1521,6654,3
216,6703,216,서당골,649,4454,1
217,617,217,아동보호센터,628,1054,2
218,6691,218,대흥식당,602,1208,1
219,602,219,대흥식당,591,820,1
220,6692,220,행복마을입구,602,239,1
221,6693,221,긴마루교회입구,5213,9218,1
222,3733,222,높은마을입구,590,2006,1
223,6696,223,옐림교회앞,599,1154,1
224,604,224,만정낚시터입구,604,2008,1
225,6697,225,만정낚시터,3734,7739,1
226,6637,226,미단교회사거리,5138,9143,1
227,515,227,갤러리84입구,477,4923,2
228,6698,228,마당개,611,1003,1
229,6699,229,아동보호센터,617,1059,1
230,6700,230,마장포,3486,7491,1
231,6701,231,가재우물터,628,948,1
232,8353,232,한국폴리텍2대학남인천캠퍼스,1679,2850,1
233,2486,233,삼환아파트,2476,2593,1
234,2912,234,종로약국,5634,9639,1
235,8817,235,신천삼거리,2950,6971,1
236,8344,236,(구)시민회관사거리,1742,566,1
237,5709,237,부흥로터리,2429,6039,1
238,3609,238,롯데마트계양점(고용복지센터),3609,7614,1
239,6582,239,마시란해변(슈퍼앞),122,2090,3
240,616,240,약암관광호텔입구,616,2383,1
241,8762,241,논현13단지푸르네마을,3825,7830,1
242,1410,242,신현여자중학교후문,1413,5711,1
243,2220,243,논현2동행정복지센터,2220,4439,1
244,1908,244,불로중학교,1953,1805,1
245,8856,245,남동체육관(체조경기장),2451,4253,1
246,2128,246,해양기계,2099,5153,1
247,3902,247,태평아파트2차(B),1255,2492,1
248,5200,248,신성미소지움,5200,9205,1
249,2399,249,부평북초등학교,2371,1737,2
250,5611,250,태평아파트,2613,5891,2
251,1210,251,현대4차아파트,1210,719,1
252,9109,252,명신여자고등학교,4484,8489,1
253,2241,253,부평감리교회,2257,5091,3
254,4552,254,계산여자고등학교,4552,8557,1
255,2316,255,작전역1번출구,2316,6318,1
256,1755,256,문학경로당,1755,1149,1
257,3392,257,쑥골고가교,1517,571,1
258,1110,258,럭키아파트,1047,6932,1
259,1749,259,인재개발원,5732,9737,1
260,7810,260,영진아파트,2057,3804,1
261,2547,261,큰방죽삼거리,2547,2734,1
262,8297,262,롯데캐슬후문,6404,10409,1
263,5655,263,신포역,5655,9660,1
264,5935,264,경인폐차사업소,5935,9940,1
265,2853,265,KT중동지사,2853,6871,1
266,2469,266,논현11단지단풍마을A정문,2418,4179,1
267,2432,267,부평윤산부인과,2432,1085,1
268,8809,268,애보박물관,2882,6754,2
269,8032,269,안산초등학교(구계산고교),2492,5859,1
270,2613,270,부현동초등학교,2613,5891,1
271,567,271,남뒤3거리,567,2486,1
272,2649,272,인천미래생활고등학교,2649,4012,1
273,5866,273,동인천역,903,6259,1
274,1297,274,풍림2.3차아파트,1249,1487,1
275,9273,275,경서동입구,1586,6962,1
277,6526,277,부평시장(당약국),6526,10531,1
278,2112,278,간석오거리(인천웨딩홀),4134,8139,1
279,8419,279,선재대교입구,578,6157,1
280,7618,280,안동포교회,6455,10460,1
281,2297,281,모래내시장,5481,9486,1
282,77,282,실미도조개구이,77,6353,1
283,5889,283,송도더샵퍼스트월드D동,1249,6290,1
284,2421,284,현광아파트,2348,6755,1
285,1450,285,여성의광장,1450,5097,1
286,8167,286,두산위브아파트,2586,5227,2
287,5332,287,순복음교회,2457,5432,2
288,8633,288,동막초등학교,1646,1416,2
289,5550,289,부개1동행정복지센터,5550,9555,1
290,3922,290,용현3동행정복지센터,3922,7927,1
291,2473,291,부개서초등학교,2536,2311,3
292,4564,292,남동시범공단앞,4564,8569,1
293,714,293,화력발전소,714,4418,1
294,8323,294,부개6단지후문.웅진플레이,2627,5924,1
295,8320,295,인천미래생활고등학교,2593,1582,1
296,3389,296,재흥시장,1732,564,1
297,4421,297,조달청비축기지,879,3817,1
298,5671,298,한사랑어린이집,5671,9676,1
299,8232,299,(주)경인양행앞,1397,782,1
300,2523,300,만수신동아아파트,2564,1619,1
301,2375,301,도림주공208동,2375,4781,1
302,9192,302,부평아트센터,2079,4739,1
303,5749,303,한양쇼핑,5749,9754,1
304,8327,304,주안3동행정복지센터,5408,9413,1
305,8496,305,동광리어,2568,3756,1
306,6245,306,문학경기장(박태환수영장),1934,6825,1
307,2257,307,부평2동행정복지센터,2257,5091,2
308,2209,308,구월2동행정복지센터,2126,4597,2
309,6735,309,난정보건진료소앞,5,527,2
310,6741,310,금정부락,3,4731,1
311,9220,311,인천성모병원정문,6471,10476,2
312,1409,312,재능대송도캠퍼스,1409,4908,1
313,5521,313,풍림1차205동,341,5758,1
314,1731,314,주안역환승정류장,1731,2389,1
315,1917,315,선학아파트,1917,3480,1
316,2502,316,한국아파트,2393,4087,2
317,3717,317,산곡동입구(롯데마트),2042,1941,1
318,8640,318,번영로제3사거리,1813,3312,1
319,8350,319,공단시장,5233,9238,1
320,8332,320,석락아파트,1482,6494,1
321,1538,321,마전초등학교,1484,5040,1
322,8712,322,유천아파트후문,6337,10342,1
323,1795,323,연수중학교,1795,3714,1
324,4435,324,임학역,2602,3839,1
325,8076,325,작전동삼성홈플러스,2313,6498,1
326,8883,326,학익여자고등학교,1651,6155,1
327,1919,327,동부아파트,1919,5658,1
328,8378,328,부평시장(한남프라자),2370,2169,1
329,8313,329,부개우체국,2593,3846,1
330,9265,330,대림연립,2513,3605,1
331,8680,331,대일엠앤쿡,1920,5698,1
332,8567,332,용현5동행정복지센터,1067,3569,1
333,6230,333,쌍마아파트,6230,10235,1
334,7911,334,경남아파트,1768,2234,1
335,2108,335,동암역입구,2046,4744,2
336,2107,336,간석오거리,2107,3334,1
337,1328,337,남중학교,1338,2076,1
338,6472,338,부일여자중학교,6472,10477,1
339,9121,339,산곡여자중학교,2074,4674,1
340,2053,340,아모텍,2053,1284,1
341,1817,341,주안5동행정복지센터,1821,5702,2
342,9022,342,귀뚜라미보일러,1808,4652,1
343,438,343,영흥수협공판장입구,442,4668,1
344,9166,344,올리브백화점,2112,2591,2
345,2311,345,부평시장입구(2번출구),2311,2390,1
346,895,346,두산인프라코어,5689,9694,1
347,1836,347,열우물테니스경기장,4406,8411,1
348,1390,348,이마트송림점,1390,4222,1
349,1938,349,KT인천지사,1938,1731,1
350,8282,350,굴포천역(부평농협),4131,8136,1
351,8103,351,유승아파트,1921,6365,1
352,5108,352,농산물도매시장,2036,5073,1
353,1224,353,인하대역(7번출구),1224,2935,1
354,2626,354,한진아파트정문,2626,3331,1
355,8991,355,현대아파트,2014,6272,2
356,2180,356,보르네오가구,2084,1263,2
357,1960,357,유승아파트,1960,342,1
358,1983,358,간석종합시장,1983,4737,1
359,2059,359,시청광장입구,2004,2789,1
360,2576,360,남동중학교,2449,3681,2
361,5493,361,솔빛마을,986,5708,1
362,1870,362,열우물테니스경기장,5874,9879,1
363,354,363,영종주공7단지,354,3174,1
364,8077,364,작전동삼성홈플러스,2310,2981,1
365,9188,365,구인천세무고,1996,5778,1
366,2094,366,우성4차후문,2097,1099,1
367,272,367,국제업무단지(공항청사),262,638,1
368,2920,368,고촌,6551,10556,1
369,7787,369,조리미입구,2566,5494,2
370,8862,370,경신마을,2448,3598,1
371,7744,371,검단금호아파트,1470,1668,1
372,1168,372,한양화학,1168,2676,1
373,2623,373,마린월드,2561,2736,2
374,2630,374,월곶풍림아파트3차,2646,5295,1
375,7789,375,장릉입구,2350,6541,1
376,2393,376,인천예림학교(인천성모병원),2397,1189,1
377,3013,377,방화도시개발11단지,3017,2542,1
378,700,378,월미도종점,696,4718,1
379,8670,379,우체국사거리,2374,4570,1
380,4420,380,송월동행정복지센터,853,3815,1
381,9038,381,남동등기소,2402,1947,1
382,2765,382,장수사거리,2696,1637,1
383,2730,383,장수.서창동행정복지센터,2713,3678,1
384,1942,384,문학경기장(박태환수영장),1942,3448,1
385,8859,385,남동아시아드럭비경기장,2449,3681,1
386,9049,386,장수동,2764,3663,1
387,9183,387,주공뜨란채아파트,2055,1790,1
388,2290,388,새마을금고,6472,10477,2
389,1299,389,검단하나아파트,1299,4126,1
390,8324,390,상동주민센터.삼광교회,2859,4354,1
391,8744,391,논현주공아파트(인천금융고),2130,7100,1
392,1860,392,수출산업단지6공단입구,1869,2450,1
393,1966,393,문화예술회관,1966,5375,2
394,1744,394,문남초등학교,1744,6043,1
395,8690,395,문남초등학교,1761,3691,1
396,8624,396,아주아파트,6464,10469,1
397,716,397,연안부두어시장,716,1168,1
398,8484,398,서흥초등학교,1128,2149,1
399,6433,399,예지아파트,6433,10438,1
400,4784,400,논현8단지동산마을,4784,8789,1
401,9233,401,부개파출소,5333,9338,2
402,2143,402,효성동2번종점,2143,5321,1
403,6155,403,대우풍림아파트,1712,6687,1
404,8807,404,소래산입구,2971,2391,1
405,5436,405,만수4동주민센터,5436,9441,1
406,2612,406,부개고입구,2536,6077,2
407,6425,407,종근당,6425,10430,1
408,4387,408,현광아파트,2463,3762,1
409,2317,409,경인교대입구,2319,2139,1
410,9077,410,만수소방서,2373,792,1
411,8764,411,소래풍림아파트,2551,7204,2
412,5638,412,남중학교,1328,5932,1
413,2217,413,계산동자연풀장,1768,2234,5
414,8050,414,한림병원,2472,1707,1
415,7756,415,당하초등학교,6475,10480,1
416,1649,416,우진아파트,6382,10387,1
417,1806,417,주안현대아파트,1806,2737,1
418,1327,418,정광아파트(병무청),1353,3200,1
419,2424,419,농협로타리,2424,5433,1
420,1027,420,백운프라자,1027,5549,1
421,5632,421,가좌홈플러스(쌍마아파트),5632,9637,1
422,9098,422,범양상가,1832,3591,2
423,8977,423,농산물도매시장,2089,1409,1
424,8585,424,용현3동행정복지센터,1217,2550,1
425,2201,425,동광제일교회,2210,1560,3
426,8206,426,청천초등학교후문,1991,3615,1
427,5599,427,검단원흥아파트,1240,5872,1
428,1349,428,산업용품유통센터C동,1349,2262,1
429,8328,429,주안3동행정복지센터,1578,5570,1
430,9059,430,장수초등학교,2605,3210,1
431,8898,431,삼영아파트,1773,10610,1
432,4260,432,신태양아파트,4260,8265,1
433,903,433,동인천역,884,412,1
434,4914,434,간석종합시장,4914,8919,1
435,1199,435,동산교회,1136,3197,2
436,5966,436,용현고개,1217,6407,1
437,2558,437,대보아파트,2558,877,1
438,2619,438,서운교,2619,677,1
439,3677,439,한진아파트,3677,7682,1
440,3801,440,진주5단지503동앞,1820,2203,1
441,5358,441,승기천,2104,5475,2
442,1809,442,범양상가,1809,4470,1
443,1512,443,청학사거리,1533,1052,1
444,4705,444,경기국제통상고.포도마을뉴서울.중앙공원,2875,4356,1
445,9208,445,새마을금고,5552,9557,2
446,2303,446,성문아파트(문화연립),2260,7051,1
447,8802,447,작은구월사거리,2255,328,1
448,2130,448,남동시범공단앞,2130,1268,1
449,3641,449,송월시장,3641,7646,1
450,1101,450,동구청,985,1045,1
451,7214,451,산음입구,5757,9762,1
452,7728,452,온누리병원,1299,3627,1
453,5549,453,해광병원,2339,5797,1
454,2627,454,주공6단지후문,2642,533,1
455,5333,455,백조세탁소,5333,9338,1
456,2392,456,갈산동아아파트,2392,5430,1
457,8193,457,부평중앙침례교회,2459,2028,1
458,8173,458,갈산주공1단지,2442,4198,1
459,8195,459,굴포천역(신복사거리),2432,1796,1
460,4636,460,연수경찰서,1730,4216,1
461,8038,461,계산공고,2613,6546,1
462,1742,462,교보생명,1742,567,1
463,2426,463,중앙하이츠,2426,6812,1
464,8028,464,교대입구,2261,2348,4
465,5877,465,연성교회,5877,9882,1
466,2517,466,이마트,2517,3287,1
467,5584,467,효성대신아파트,2170,5844,1
468,8689,468,연수1동행정복지센터,1761,4984,1
469,2453,469,갈산동천주교회맞은편,5332,9337,1
470,9028,470,KT인천지사,5359,9364,1
471,4454,471,숭의목공예마을앞,1201,3868,1
472,9160,472,종근당,1983,2216,1
473,4565,473,세우산업,2050,4083,1
474,4364,474,연수주공3차아파트,1816,3717,1
475,2104,475,남동I.C(문학동입구),2104,5475,1
476,6015,476,신동아아파트,1701,6478,1
477,2029,477,산곡여자중학교,2023,400,1
478,5541,478,무지개아파트,2037,5785,1
479,2604,479,삼산월드체육관,2604,559,1
480,4241,480,호불사입구,1326,3452,1
481,2877,481,부천시청역2번출구.현대백화점.이마트,2877,5911,1
482,5690,482,부평동중,5690,9695,1
483,9154,483,십정시장입구,6424,10429,1
484,1775,484,가재울역,1775,5928,1
485,2272,485,도림고등학교,2233,1293,1
486,1310,486,미추홀경찰서(장미아파트),1310,1454,1
487,2332,487,수행마을,2295,532,4
488,4669,488,인천대입구역,4669,8674,1
489,2408,489,안남고(동보1차아파트),2408,3754,1
490,2156,490,효성명현초등학교,2156,5613,1
491,8417,491,문말삼거리,578,2157,1
492,2875,492,포도마을.뉴서울아파트.중앙공원,2874,4355,1
493,5858,493,금강마을,2851,6245,1
494,4984,494,연수한양1차아파트,4984,8989,1
495,4907,495,미래타운5단지505동,4907,8912,1
496,1838,496,가천의과학대학교(노인복지회관),1787,6415,1
497,8938,497,도화오거리.도화역,4260,8265,4
498,2138,498,백운역,2138,2413,1
499,4116,499,길병원,4116,8121,1
500,2668,500,삼산체육관역.상동호수공원,2624,3235,1
501,1825,501,로얄타운,1859,849,1
502,4307,502,제물포여자중학교,1848,3588,1
503,8678,503,인천남동우체국,2149,2570,1
504,5195,504,경서지구입구,1320,5217,1
505,9254,505,군수사령부입구(장애인복지관),2688,2777,1
506,8957,506,대우재아파트,1986,6276,1
507,8956,507,대우재아파트,1843,6275,4
508,8363,508,도원동행정복지센터,996,4086,1
509,4001,509,다남동소촌마을입구,2269,2812,2
510,1230,510,산업용품유통센타,1230,6504,1
511,3585,511,아이즈빌(부평CGV),3585,7590,1
512,7812,512,청천푸르지오아파트,2139,125,1
513,8160,513,삼산새마을금고,2558,1480,2
514,8009,514,사회복지회관.계산궁도장,4245,8250,3
515,8606,515,쌍용아파트,1259,3802,1
516,9093,516,진주아파트4단지,1800,395,2
517,8777,517,풍림아파트,2244,7045,2
518,9152,518,동암국민주택,6421,10426,2
519,1821,519,범양아파트,1821,5702,1
520,9065,520,숭덕여중고입구,3958,7963,1
521,2065,521,백운공원,2065,1791,1
522,1727,522,주안7동행정복지센터,1578,5570,2
523,8490,523,솔빛주공2단지,969,5706,1
524,6086,524,삼정사거리,2921,6583,1
525,4833,525,구월2동행정복지센터,2209,4598,2
526,7910,526,연희동광명아파트(사계절썰매장),4128,8133,1
527,8114,527,경인교대후문,2242,1602,1
528,9275,528,명현중학교,3642,7647,2
529,2071,529,효성노인문화센터,2170,5931,1
530,2072,530,효성노인문화센터,2072,1676,1
531,8116,531,대진아파트,2235,2950,1
532,8451,532,송도힐스테이트5단지,1241,5880,1
533,1036,533,투모로우시티,1074,4688,1
534,1403,534,캠퍼스타운역,1403,775,1
535,4328,535,테크노파크역,4328,8333,1
536,1305,536,테크노파크역,1305,3625,1
537,6134,537,간석남부역,1918,6649,1
538,6665,538,중산동(중촌),619,2687,1
539,6633,539,운남동,519,6893,1
540,6668,540,남뒤3거리,569,795,1
541,503,541,운서초등학교,486,1849,1
542,8709,542,신연수(풍림아파트),1873,3474,1
543,1782,543,진주아파트2단지,1782,382,1
544,4205,544,청능로사거리,4205,8210,1
545,6092,545,논현3단지하늘마을305동,2173,6590,1
546,8532,546,원흥아파트,1111,2666,1
547,8632,547,동남아파트(무지개아파트),1523,2031,2
548,1592,548,동막역(4번출구),1613,4942,1
549,1489,549,시대아파트,1489,4133,1
550,7390,550,화도터미널,154,1495,1
551,4948,551,화도터미널,155,4809,1
552,8615,552,청학아파트,1452,3688,1
553,4461,553,현대3차아파트,4461,8466,1
554,5468,554,동춘역,5468,9473,1
555,1730,555,동아금호아파트,1637,1165,2
556,4570,556,솔안공원,1763,4093,1
557,9066,557,만수종합시장,2403,3131,3
558,1773,558,문학초등학교,1773,723,1
559,4498,559,신동아아파트,1632,3935,1
560,5407,560,신동아아파트,5407,9412,1
561,3223,561,고속터미널,3219,213,1
562,3255,562,교육개발원입구,3249,2636,3
563,4826,563,양재역,4826,8831,1
564,3256,564,시민의숲양재꽃시장,3256,2606,1
565,2908,565,중흥마을상가.은하마을,2906,6130,1
566,2780,566,상동지하차도,2780,3239,1
567,2849,567,꿈동산.사랑마을,2820,2268,1
568,9147,568,십정초등학교(동암의원),1940,7072,1
569,5573,569,백석중.고등학교,5573,9578,1
570,7734,570,검단출장소,1474,4298,3
571,1588,571,중앙아파트,1588,3159,1
572,6402,572,이토상가,1990,7048,2
573,5784,573,귤현역,2633,6149,2
574,7850,574,고속터미널,3331,7336,1
575,7854,575,양재역,3249,2636,2
576,4024,576,선유고등학교,4024,8029,1
577,6075,577,방화중학교,3030,6569,1
578,2997,578,한국공항공사이마트공항점,2985,2395,2
579,698,579,월미도,696,986,1
580,3019,580,김포공항역,3021,4889,1
581,8861,581,담방아파트,2576,3326,1
582,4593,582,힘찬병원,4593,8598,1
583,8371,583,부흥초등학교,2417,2681,1
584,9244,584,부개농협,6430,10435,2
585,5751,585,현광아파트,1645,6100,1
586,7899,586,검암역(원당방면),1607,2161,1
587,1319,587,안동포사거리,1318,1000,1
588,329,588,영은교회,329,2056,1
589,3691,589,운서초등학교,3691,7696,1
590,9056,590,만수역,2468,4481,1
591,2335,591,청능로사거리,2335,3358,1
592,7577,592,마전지구2,1377,2699,1
593,814,593,두산인프라코어후문,814,6012,1
594,4986,594,도화동신협(구박문여고),1247,4863,1
595,997,595,숭의역(1번출구),987,1555,1
596,1541,596,신동아1.2차아파트,1541,5567,1
597,6464,597,대동아파트,1529,7139,1
598,8382,598,금호아파트,2132,1535,1
599,4559,599,석남아파트,4559,8564,1
600,2519,600,에코메트로12단지,5582,9587,1
601,1178,601,가좌환경사업소,1178,4913,1
602,2497,602,방죽삼거리,2497,6120,1
603,6148,603,스포월드골프연습장,1143,6675,1
604,2328,604,태화아파트후문,4574,8579,1
605,1318,605,동진시멘트,1318,1136,1
606,3590,606,동진시멘트,3590,7595,1
607,8729,607,에코메트로1201동,5586,9591,1
608,4248,608,근대문화거리입구,819,3471,1
609,819,609,근대문화거리입구,768,3467,2
610,1858,610,장인가구,1937,4207,1
611,8220,611,SK인천석유화학,1404,5051,1
612,1404,612,SK인천석유화학,1398,3642,2
613,8733,613,논현고잔동행정복지센터,2341,1809,2
614,4204,614,논현동힐스테이트,2382,3357,1
615,9276,615,김포공항국제선,2985,2151,2
616,8605,616,옥련2동주민센터(옥련우체국),1210,1044,1
