LINK_NO,F_NODE,T_NODE,TYPE,LENGTH,F_ID,LINK_ID,T_ID
1,1009,1073,1,520.000000km,1680025400,1680072900,1680023200
1,1073,1009,1,520.000000km,1680025400,1680072900,1680023200
2,1002,1018,1,288.000000km,1680060300,1680181100,1680060400
2,1018,1002,1,288.000000km,1680060300,1680181100,1680060400
3,1720,1722,1,136.000000km,1680051400,1680149000,1680051300
3,1722,1720,1,136.000000km,1680051400,1680149000,1680051300
4,1158,1365,1,1109.000000km,1680060700,1680182500,1680036200
4,1365,1158,1,1109.000000km,1680060700,1680182500,1680036200
5,1365,1402,1,267.000000km,1680036200,1680107000,1680018700
5,1402,1365,1,267.000000km,1680036200,1680107000,1680018700
6,710,711,1,46.000000km,1680045700,1680137400,1680056900
6,711,710,1,46.000000km,1680045700,1680137400,1680056900
7,888,904,1,217.000000km,1610062000,1610214000,1630000700
7,904,888,1,217.000000km,1610062000,1610214000,1630000700
8,807,817,1,265.000000km,1680044900,1680136500,1680045300
8,817,807,1,265.000000km,1680044900,1680136500,1680045300
9,807,3290,1,265.000000km,1680045300,1680136400,1680044900
9,3290,807,1,265.000000km,1680045300,1680136400,1680044900
10,710,3291,1,46.000000km,1680056900,1680169500,1680045700
10,3291,710,1,46.000000km,1680056900,1680169500,1680045700
11,727,731,1,115.000000km,1680069200,1680205300,1680069100
11,731,727,1,115.000000km,1680069200,1680205300,1680069100
12,730,731,1,64.000000km,1680069100,1680205200,1680069000
12,731,730,1,64.000000km,1680069100,1680205200,1680069000
13,2133,2153,1,130.000000km,1670029200,1670083000,1670012800
13,2153,2133,1,130.000000km,1670029200,1670083000,1670012800
14,2010,2096,1,509.000000km,1670024300,1670066400,1670024400
14,2096,2010,1,509.000000km,1670024300,1670066400,1670024400
15,2008,2015,1,258.000000km,1670031200,1670086000,1670031300
15,2015,2008,1,258.000000km,1670031200,1670086000,1670031300
16,2008,2022,1,315.000000km,1670031300,1670085900,1670024500
16,2022,2008,1,315.000000km,1670031300,1670085900,1670024500
17,1944,2022,1,441.000000km,1670024500,1670066700,1670024600
17,2022,1944,1,441.000000km,1670024500,1670066700,1670024600
18,1901,1944,1,320.000000km,1670024600,1670066800,1670024700
18,1944,1901,1,320.000000km,1670024600,1670066800,1670024700
19,1883,1901,1,152.000000km,1670024700,1670067200,1670024800
19,1901,1883,1,152.000000km,1670024700,1670067200,1670024800
20,1865,1883,1,168.000000km,1670024800,1670067300,1670025200
20,1883,1865,1,168.000000km,1670024800,1670067300,1670025200
21,1865,3292,1,171.000000km,1670025200,1670068200,1670024800
21,3292,1865,1,171.000000km,1670025200,1670068200,1670024800
22,1883,3293,1,152.000000km,1670024800,1670067600,1670024700
22,3293,1883,1,152.000000km,1670024800,1670067600,1670024700
23,1901,3294,1,319.000000km,1670024700,1670066900,1670024600
23,3294,1901,1,319.000000km,1670024700,1670066900,1670024600
24,2022,3295,1,318.000000km,1670024500,1670085400,1670031300
24,3295,2022,1,318.000000km,1670024500,1670085400,1670031300
25,214,257,1,2226.000000km,1690041200,1690100600,1690041300
25,257,214,1,2226.000000km,1690041200,1690100600,1690041300
26,2001,2013,1,77.000000km,1630025700,1630088100,1630025800
26,2013,2001,1,77.000000km,1630025700,1630088100,1630025800
27,1995,2034,1,565.000000km,1680025600,1680073900,1680031100
27,2034,1995,1,565.000000km,1680025600,1680073900,1680031100
28,1973,1995,1,122.000000km,1680031100,1680090200,1680031000
28,1995,1973,1,122.000000km,1680031100,1680090200,1680031000
29,1969,1973,1,161.000000km,1680026900,1680076900,1680031000
29,1973,1969,1,161.000000km,1680026900,1680076900,1680031000
30,1913,1977,1,391.000000km,1680030900,1680089800,1680030800
30,1977,1913,1,391.000000km,1680030900,1680089800,1680030800
31,1913,3296,1,392.000000km,1680030800,1680089700,1680030900
31,3296,1913,1,392.000000km,1680030800,1680089700,1680030900
32,1971,1977,1,76.000000km,1680030900,1680089600,1680023700
32,1977,1971,1,76.000000km,1680030900,1680089600,1680023700
33,1971,3297,1,75.000000km,1680023700,1680069000,1680030900
33,3297,1971,1,75.000000km,1680023700,1680069000,1680030900
34,1906,1913,1,139.000000km,1680026800,1680077100,1680030800
34,1913,1906,1,139.000000km,1680026800,1680077100,1680030800
35,229,246,1,436.000000km,1690048800,1690079300,1690042300
35,246,229,1,436.000000km,1690048800,1690079300,1690042300
36,3068,3074,1,186.000000km,2240047100,2240137400,2240044500
36,3074,3068,1,186.000000km,2240047100,2240137400,2240044500
37,1437,1563,1,964.000000km,2320012900,2320031300,2320012800
37,1563,1437,1,964.000000km,2320012900,2320031300,2320012800
38,2893,2894,1,175.000000km,1650032400,1650106300,1650027000
38,2894,2893,1,175.000000km,1650032400,1650106300,1650027000
39,1456,1467,1,155.000000km,1630013900,1630046600,1630015000
39,1467,1456,1,155.000000km,1630013900,1630046600,1630015000
40,1467,1517,1,368.000000km,1630013900,1630045300,1630013200
40,1517,1467,1,368.000000km,1630013900,1630045300,1630013200
41,1456,3298,1,155.000000km,1630015000,1630046500,1630013900
41,3298,1456,1,155.000000km,1630015000,1630046500,1630013900
42,1445,1456,1,132.000000km,1630015000,1630049200,1630015100
42,1456,1445,1,132.000000km,1630015000,1630049200,1630015100
43,1445,3299,1,133.000000km,1630015100,1630049100,1630015000
43,3299,1445,1,133.000000km,1630015100,1630049100,1630015000
44,1690,1725,1,149.000000km,1630019300,1630060300,1630013500
44,1725,1690,1,149.000000km,1630019300,1630060300,1630013500
46,666,685,1,1815.000000km,2320014900,2320035400,2320015000
46,685,666,1,1815.000000km,2320014900,2320035400,2320015000
47,704,723,1,553.000000km,1680068500,1680229100,1680040700
47,723,704,1,553.000000km,1680068500,1680229100,1680040700
48,704,3300,1,553.000000km,1680040700,1680229000,1680068500
48,3300,704,1,553.000000km,1680040700,1680229000,1680068500
49,694,704,1,395.000000km,1680040700,1680120300,1680040600
49,704,694,1,395.000000km,1680040700,1680120300,1680040600
50,694,3301,1,396.000000km,1680040600,1680120900,1680040700
50,3301,694,1,396.000000km,1680040600,1680120900,1680040700
51,694,722,1,1013.000000km,1680040600,1680120600,1680040100
51,722,694,1,1013.000000km,1680040600,1680120600,1680040100
52,722,3302,1,1014.000000km,1680040100,1680120800,1680040600
52,3302,722,1,1014.000000km,1680040100,1680120800,1680040600
53,722,733,1,417.000000km,1680040100,1680120500,1680040500
53,733,722,1,417.000000km,1680040100,1680120500,1680040500
54,733,3303,1,416.000000km,1680040500,1680120700,1680040100
54,3303,733,1,416.000000km,1680040500,1680120700,1680040100
55,744,757,1,303.000000km,1680040000,1680116700,1680036000
55,757,744,1,303.000000km,1680040000,1680116700,1680036000
56,2829,2836,1,456.000000km,1670021200,1670060200,1670021300
56,2836,2829,1,456.000000km,1670021200,1670060200,1670021300
57,2829,3304,1,456.000000km,1670021300,1670060100,1670021200
57,3304,2829,1,456.000000km,1670021300,1670060100,1670021200
58,2645,2829,1,1151.000000km,1670021300,1670059900,1670001500
58,2829,2645,1,1151.000000km,1670021300,1670059900,1670001500
59,1369,1371,1,277.000000km,1680031800,1680092200,1680033100
59,1371,1369,1,277.000000km,1680031800,1680092200,1680033100
60,436,438,1,113.000000km,1700003200,1700008900,1700001200
60,438,436,1,113.000000km,1700003200,1700008900,1700001200
61,1410,1449,1,283.000000km,1680028800,1680082700,1680013700
61,1449,1410,1,283.000000km,1680028800,1680082700,1680013700
62,3084,3093,1,1472.000000km,1150010400,1150032100,1150000500
62,3093,3084,1,1472.000000km,1150010400,1150032100,1150000500
63,2263,2264,1,255.000000km,1660009300,1660025200,1660019200
63,2264,2263,1,255.000000km,1660009300,1660025200,1660019200
64,1970,1973,1,192.000000km,1680030600,1680088900,1680031000
64,1973,1970,1,192.000000km,1680030600,1680088900,1680031000
65,2440,2501,1,414.000000km,1650053500,1650183800,1650029700
65,2501,2440,1,414.000000km,1650053500,1650183800,1650029700
66,2730,2754,1,166.000000km,1650027800,1650090800,1650027900
66,2754,2730,1,166.000000km,1650027800,1650090800,1650027900
67,2385,2446,1,347.000000km,1650028500,1650092000,1650029300
67,2446,2385,1,347.000000km,1650028500,1650092000,1650029300
68,2237,2240,1,137.000000km,1650026800,1650086600,1650000800
68,2240,2237,1,137.000000km,1650026800,1650086600,1650000800
69,1732,1736,1,391.000000km,1630026600,1630089400,1630007300
69,1736,1732,1,391.000000km,1630026600,1630089400,1630007300
70,1690,3305,1,153.000000km,1630013500,1630045700,1630019300
70,3305,1690,1,153.000000km,1630013500,1630045700,1630019300
71,1050,1051,1,689.000000km,1680041200,1680123900,1680041300
71,1051,1050,1,689.000000km,1680041200,1680123900,1680041300
72,3118,3122,1,1065.000000km,1170000800,1170001800,1170001000
72,3122,3118,1,1065.000000km,1170000800,1170001800,1170001000
