LINK_NO,F_NODE,T_NODE,TYPE,LENGTH,F_ID,LINK_ID,T_ID
73,1666,1699,1,164.000000km,1680037400,1680109900,1680023400
73,1699,1666,1,164.000000km,1680037400,1680109900,1680023400
74,1014,1039,1,193.000000km,1640029700,1640093600,1640029600
74,1039,1014,1,193.000000km,1640029700,1640093600,1640029600
75,1213,1242,1,102.000000km,1630018400,1630065600,1630020400
75,1242,1213,1,102.000000km,1630018400,1630065600,1630020400
76,765,1087,1,2217.000000km,1640028800,1650113600,1650048700
76,1087,765,1,2217.000000km,1640028800,1650113600,1650048700
77,3088,3090,1,319.000000km,2240041000,2240184900,2240040800
77,3090,3088,1,319.000000km,2240041000,2240184900,2240040800
78,3087,3088,1,252.000000km,2240040800,2240184000,2240046200
78,3088,3087,1,252.000000km,2240040800,2240184000,2240046200
79,1013,1038,1,196.000000km,1640034400,1640111200,1640030200
79,1038,1013,1,196.000000km,1640034400,1640111200,1640030200
80,1077,1120,1,341.000000km,1640031900,1640106700,1640032900
80,1120,1077,1,341.000000km,1640031900,1640106700,1640032900
81,1284,1285,1,424.000000km,1680038400,1680228600,1680068400
81,1285,1284,1,424.000000km,1680038400,1680228600,1680068400
82,356,366,1,365.000000km,1610016500,1610048300,1610017100
82,366,356,1,365.000000km,1610016500,1610048300,1610017100
83,241,248,1,213.000000km,1610006500,1610019400,1610019300
83,248,241,1,213.000000km,1610006500,1610019400,1610019300
84,756,762,1,131.000000km,1610010300,1610009900,1610001600
84,762,756,1,131.000000km,1610010300,1610009900,1610001600
85,2971,3002,1,707.000000km,2240014500,2240031900,2240014200
85,3002,2971,1,707.000000km,2240014500,2240031900,2240014200
86,2618,2691,1,379.000000km,1660031000,1660099100,1660031100
86,2691,2618,1,379.000000km,1660031000,1660099100,1660031100
87,3085,3092,1,850.000000km,2240003600,2240007800,2240003200
87,3092,3085,1,850.000000km,2240003600,2240007800,2240003200
88,2602,2610,1,117.000000km,1670010100,1670030400,1670010200
88,2610,2602,1,117.000000km,1670010100,1670030400,1670010200
89,1502,1515,1,69.000000km,1680012500,1680040300,1680012600
89,1515,1502,1,69.000000km,1680012500,1680040300,1680012600
90,1094,1128,1,216.000000km,1620003300,1620003900,1620000600
90,1128,1094,1,216.000000km,1620003300,1620003900,1620000600
91,1998,2012,1,85.000000km,1630025500,1630087900,1630025600
91,2012,1998,1,85.000000km,1630025500,1630087900,1630025600
92,2012,2026,1,69.000000km,1630025600,1630087700,1630016900
92,2026,2012,1,69.000000km,1630025600,1630087700,1630016900
93,1039,1062,1,192.000000km,1640030100,1640095400,1640029700
93,1062,1039,1,192.000000km,1640030100,1640095400,1640029700
94,1113,1142,1,205.000000km,1640029900,1640094400,1640029800
94,1142,1113,1,205.000000km,1640029900,1640094400,1640029800
95,1142,1162,1,131.000000km,1640032000,1640113200,1640029900
95,1162,1142,1,131.000000km,1640032000,1640113200,1640029900
96,1113,3306,1,206.000000km,1640029800,1640094300,1640029900
96,3306,1113,1,206.000000km,1640029800,1640094300,1640029900
97,1062,1091,1,190.000000km,1640030100,1640095700,1640034100
97,1091,1062,1,190.000000km,1640030100,1640095700,1640034100
98,1003,1014,1,94.000000km,1640029500,1640093300,1640029600
98,1014,1003,1,94.000000km,1640029500,1640093300,1640029600
99,1039,1061,1,222.000000km,1640029700,1640093000,1640027100
99,1061,1039,1,222.000000km,1640029700,1640093000,1640027100
100,1003,1028,1,220.000000km,1640029500,1640092800,1640023500
100,1028,1003,1,220.000000km,1640029500,1640092800,1640023500
101,2314,2346,1,299.000000km,1650034500,1650112600,1650033300
101,2346,2314,1,299.000000km,1650034500,1650112600,1650033300
102,2346,2358,1,71.000000km,1650034500,1650112800,1650034600
102,2358,2346,1,71.000000km,1650034500,1650112800,1650034600
103,2632,2679,1,252.000000km,1670011900,1670034600,1670020900
103,2679,2632,1,252.000000km,1670011900,1670034600,1670020900
104,2678,2679,1,174.000000km,1670020900,1670059100,1670010000
104,2679,2678,1,174.000000km,1670020900,1670059100,1670010000
105,2679,3307,1,250.000000km,1670020900,1670059200,1670011900
105,3307,2679,1,250.000000km,1670020900,1670059200,1670011900
106,2641,2685,1,693.000000km,1670021100,1670059300,1670015000
106,2685,2641,1,693.000000km,1670021100,1670059300,1670015000
107,1362,1438,1,538.000000km,1630022000,1630071200,1630004900
107,1438,1362,1,538.000000km,1630022000,1630071200,1630004900
108,1335,1362,1,230.000000km,1630022000,1630071100,1630019000
108,1362,1335,1,230.000000km,1630022000,1630071100,1630019000
109,1310,1344,1,203.000000km,1630022100,1630071300,1630017000
109,1344,1310,1,203.000000km,1630022100,1630071300,1630017000
110,1068,1177,1,566.000000km,1680009700,1680147000,1680050000
110,1177,1068,1,566.000000km,1680009700,1680147000,1680050000
111,1066,1068,1,840.000000km,1680011600,1680146600,1680050000
111,1068,1066,1,840.000000km,1680011600,1680146600,1680050000
112,1068,3308,1,565.000000km,1680050000,1680146900,1680009700
112,3308,1068,1,565.000000km,1680050000,1680146900,1680009700
113,2503,2525,1,109.000000km,1650033000,1650107500,1650033100
113,2525,2503,1,109.000000km,1650033000,1650107500,1650033100
114,1434,1480,1,337.000000km,1650045800,1650140200,1650047300
114,1480,1434,1,337.000000km,1650045800,1650140200,1650047300
115,1480,3309,1,337.000000km,1650047300,1650140300,1650045800
115,3309,1480,1,337.000000km,1650047300,1650140300,1650045800
116,1399,1434,1,240.000000km,1650045800,1650140100,1650045700
116,1434,1399,1,240.000000km,1650045800,1650140100,1650045700
117,1434,1442,1,117.000000km,1650045800,1650141400,1650048400
117,1442,1434,1,117.000000km,1650045800,1650141400,1650048400
118,1454,1475,1,211.000000km,1650047800,1650140900,1650047700
118,1475,1454,1,211.000000km,1650047800,1650140900,1650047700
119,1399,1423,1,142.000000km,1650045700,1650140400,1650047400
119,1423,1399,1,142.000000km,1650045700,1650140400,1650047400
120,1829,1834,1,119.000000km,1630018900,1630058800,1630019100
120,1834,1829,1,119.000000km,1630018900,1630058800,1630019100
121,1834,3310,1,115.000000km,1630019100,1630059700,1630018900
121,3310,1834,1,115.000000km,1630019100,1630059700,1630018900
122,1783,1800,1,223.000000km,1680022400,1680064700,1680022200
122,1800,1783,1,223.000000km,1680022400,1680064700,1680022200
123,2498,2561,1,306.000000km,2240039500,2240118000,2240039900
123,2561,2498,1,306.000000km,2240039500,2240118000,2240039900
124,2580,2614,1,322.000000km,2240039800,2240118800,2240039100
124,2614,2580,1,322.000000km,2240039800,2240118800,2240039100
125,2139,2141,1,504.000000km,1660013900,1660043000,1660015100
125,2141,2139,1,504.000000km,1660013900,1660043000,1660015100
126,2141,3311,1,504.000000km,1660015100,1660043100,1660013900
126,3311,2141,1,504.000000km,1660015100,1660043100,1660013900
127,2141,2218,1,505.000000km,1660015100,1660046200,1660014900
127,2218,2141,1,505.000000km,1660015100,1660046200,1660014900
128,2051,2139,1,500.000000km,1660014100,1660042800,1660013900
128,2139,2051,1,500.000000km,1660014100,1660042800,1660013900
129,2139,3312,1,500.000000km,1660013900,1660042900,1660014100
129,3312,2139,1,500.000000km,1660013900,1660042900,1660014100
130,2175,2216,1,439.000000km,2240002200,2240004800,2240002300
130,2216,2175,1,439.000000km,2240002200,2240004800,2240002300
131,2883,2945,1,1247.000000km,2240008100,2240019100,1650001000
131,2945,2883,1,1247.000000km,2240008100,2240019100,1650001000
132,2933,2936,1,330.000000km,2120000700,2120000700,2120000300
132,2936,2933,1,330.000000km,2120000700,2120000700,2120000300
133,2933,3313,1,321.000000km,2120000300,2120000800,2120000700
133,3313,2933,1,321.000000km,2120000300,2120000800,2120000700
134,2846,2858,1,183.000000km,2100020100,2100016100,2100003300
134,2858,2846,1,183.000000km,2100020100,2100016100,2100003300
135,86,97,1,546.000000km,1610022300,1610063400,1610024300
135,97,86,1,546.000000km,1610022300,1610063400,1610024300
136,167,169,1,95.000000km,1610022600,1610063700,1610024500
136,169,167,1,95.000000km,1610022600,1610063700,1610024500
137,166,167,1,72.000000km,1610024500,1610069200,1610022500
137,167,166,1,72.000000km,1610024500,1610069200,1610022500
138,167,3314,1,95.000000km,1610024500,1610069300,1610022600
138,3314,167,1,95.000000km,1610024500,1610069300,1610022600
139,1564,1619,1,253.000000km,1630003700,1630013500,1630002900
139,1619,1564,1,253.000000km,1630003700,1630013500,1630002900
140,1619,3315,1,253.000000km,1630002900,1630013600,1630003700
140,3315,1619,1,253.000000km,1630002900,1630013600,1630003700
141,1558,1611,1,327.000000km,1640011100,1640065600,1640009600
141,1611,1558,1,327.000000km,1640011100,1640065600,1640009600
142,961,973,1,63.000000km,1610009300,1610100300,1610035100
142,973,961,1,63.000000km,1610009300,1610100300,1610035100
143,679,683,1,325.000000km,2170009100,2170021900,2170001500
143,683,679,1,325.000000km,2170009100,2170021900,2170001500
144,997,1005,1,77.000000km,1630001300,1630003100,1630001400
144,1005,997,1,77.000000km,1630001300,1630003100,1630001400
145,930,940,1,176.000000km,1630000900,1630001900,1630000800
145,940,930,1,176.000000km,1630000900,1630001900,1630000800
146,909,916,1,134.000000km,1630000600,1630001100,1630000500
146,916,909,1,134.000000km,1630000600,1630001100,1630000500
147,916,922,1,245.000000km,1630000500,1630000700,1630000300
147,922,916,1,245.000000km,1630000500,1630000700,1630000300
148,1366,1417,1,326.000000km,1630001900,1630004200,1630023700
148,1417,1366,1,326.000000km,1630001900,1630004200,1630023700
149,1005,1016,1,123.000000km,1630001500,1630003400,1630001400
149,1016,1005,1,123.000000km,1630001500,1630003400,1630001400
150,2242,2245,1,209.000000km,1670016600,1670046900,1670005300
150,2245,2242,1,209.000000km,1670016600,1670046900,1670005300
151,1834,1835,1,101.000000km,1630019100,1630059800,1630002800
151,1835,1834,1,101.000000km,1630019100,1630059800,1630002800
152,3082,3099,1,1826.000000km,1150010100,1150030700,1140009200
152,3099,3082,1,1826.000000km,1150010100,1150030700,1140009200
153,1310,1335,1,284.000000km,1630017000,1630059400,1630019000
153,1335,1310,1,284.000000km,1630017000,1630059400,1630019000
154,2366,2375,1,381.000000km,1650030300,1650099900,1650010200
154,2375,2366,1,381.000000km,1650030300,1650099900,1650010200
155,269,313,1,1562.000000km,1690040500,1690130200,1690037800
155,313,269,1,1562.000000km,1690040500,1690130200,1690037800
156,313,3316,1,1574.000000km,1690037800,1690130100,1690040500
156,3316,313,1,1574.000000km,1690037800,1690130100,1690040500
157,258,269,1,954.000000km,1690040500,1690130000,1690038900
157,269,258,1,954.000000km,1690040500,1690130000,1690038900
158,513,596,1,4025.000000km,1640039000,1610132600,1640038900
158,596,513,1,4025.000000km,1640039000,1610132600,1640038900
159,268,269,1,949.000000km,1690040500,1690129900,1690037300
159,269,268,1,949.000000km,1690040500,1690129900,1690037300
160,259,270,1,483.000000km,1690040300,1690129800,1690040200
160,270,259,1,483.000000km,1690040300,1690129800,1690040200
161,239,259,1,1088.000000km,1690040300,1690129600,1690040400
161,259,239,1,1088.000000km,1690040300,1690129600,1690040400
162,270,271,1,379.000000km,1690040200,1690129500,1690034400
162,271,270,1,379.000000km,1690040200,1690129500,1690034400
163,270,279,1,249.000000km,1690040200,1690129400,1690034200
163,279,270,1,249.000000km,1690040200,1690129400,1690034200
164,1408,1437,1,216.000000km,2320012900,2320073600,2320017000
164,1437,1408,1,216.000000km,2320012900,2320073600,2320017000
165,593,608,1,678.000000km,2320018300,2320043300,2320018100
165,608,593,1,678.000000km,2320018300,2320043300,2320018100
166,647,658,1,722.000000km,2320014700,2320067400,2320016700
166,658,647,1,722.000000km,2320014700,2320067400,2320016700
167,685,3317,1,1817.000000km,2320015000,2320035300,2320014900
167,3317,685,1,1817.000000km,2320015000,2320035300,2320014900
168,685,693,1,991.000000km,2320015000,2320035200,2320015100
168,693,685,1,991.000000km,2320015000,2320035200,2320015100
169,693,3318,1,977.000000km,2320015100,2320035100,2320015000
169,3318,693,1,977.000000km,2320015100,2320035100,2320015000
170,693,709,1,709.000000km,2320015100,2320036400,2320015200
170,709,693,1,709.000000km,2320015100,2320036400,2320015200
171,709,3319,1,709.000000km,2320015200,2320036300,2320015100
171,3319,709,1,709.000000km,2320015200,2320036300,2320015100
172,709,806,1,3631.000000km,2320015200,2320036200,2320005700
172,806,709,1,3631.000000km,2320015200,2320036200,2320005700
173,858,861,1,100.000000km,2320024100,2320062200,2320022900
173,861,858,1,100.000000km,2320024100,2320062200,2320022900
174,856,858,1,390.000000km,2320024100,2320063100,2320013500
174,858,856,1,390.000000km,2320024100,2320063100,2320013500
175,558,560,1,183.000000km,1690011800,1690030700,1690022300
175,560,558,1,183.000000km,1690011800,1690030700,1690022300
176,830,835,1,60.000000km,1680060900,1680182800,1680052200
176,835,830,1,60.000000km,1680060900,1680182800,1680052200
177,830,855,1,250.000000km,1680060800,1680182700,1680060900
177,855,830,1,250.000000km,1680060800,1680182700,1680060900
178,849,855,1,101.000000km,1680060800,1680182900,1680072700
178,855,849,1,101.000000km,1680060800,1680182900,1680072700
179,2077,2082,1,323.000000km,1660021300,1660065900,1660004900
179,2082,2077,1,323.000000km,1660021300,1660065900,1660004900
180,2615,2631,1,291.000000km,2240005600,2240013700,2240006100
180,2631,2615,1,291.000000km,2240005600,2240013700,2240006100
181,151,174,1,760.000000km,1690051600,1690137800,1690012500
181,174,151,1,760.000000km,1690051600,1690137800,1690012500
182,127,151,1,1067.000000km,1690051600,1690137900,1690051700
182,151,127,1,1067.000000km,1690051600,1690137900,1690051700
183,91,127,1,1389.000000km,1690051700,1690138000,1690051800
183,127,91,1,1389.000000km,1690051700,1690138000,1690051800
184,127,3320,1,1064.000000km,1690051700,1690138100,1690051600
184,3320,127,1,1064.000000km,1690051700,1690138100,1690051600
185,70,91,1,930.000000km,1690051800,1690138200,1690043000
185,91,70,1,930.000000km,1690051800,1690138200,1690043000
186,91,3321,1,1391.000000km,1690051800,1690138300,1690051700
186,3321,91,1,1391.000000km,1690051800,1690138300,1690051700
187,139,194,1,1742.000000km,1690051900,1690138400,1690052000
187,194,139,1,1742.000000km,1690051900,1690138400,1690052000
188,194,219,1,1340.000000km,1690051900,1690138500,1690029600
188,219,194,1,1340.000000km,1690051900,1690138500,1690029600
189,108,139,1,1305.000000km,1690052000,1690138600,1690052100
189,139,108,1,1305.000000km,1690052000,1690138600,1690052100
190,2747,2760,1,57.000000km,1670025800,1670069900,1670019400
190,2760,2747,1,57.000000km,1670025800,1670069900,1670019400
191,357,378,1,1397.000000km,1610000800,1610002900,1610020100
191,378,357,1,1397.000000km,1610000800,1610002900,1610020100
192,3165,3172,1,450.000000km,1190003000,1190008400,1190000300
192,3172,3165,1,450.000000km,1190003000,1190008400,1190000300
193,1005,3322,1,72.000000km,1630001400,1630003200,1630001300
193,3322,1005,1,72.000000km,1630001400,1630003200,1630001300
194,303,335,1,980.000000km,1610018300,1610142000,1610048400
194,335,303,1,980.000000km,1610018300,1610142000,1610048400
195,162,209,1,2483.000000km,1690048200,1690080000,1690036400
195,209,162,1,2483.000000km,1690048200,1690080000,1690036400
196,851,869,1,438.000000km,1680042000,1680185500,1680043800
196,869,851,1,438.000000km,1680042000,1680185500,1680043800
197,529,539,1,445.000000km,1610069200,1610217000,1610069300
197,539,529,1,445.000000km,1610069200,1610217000,1610069300
198,454,455,1,169.000000km,1610028600,1610080200,1610028800
198,455,454,1,169.000000km,1610028600,1610080200,1610028800
199,455,460,1,315.000000km,1610028800,1610083900,1610037100
199,460,455,1,315.000000km,1610028800,1610083900,1610037100
200,460,472,1,529.000000km,1610037100,1610155600,1610052900
200,472,460,1,529.000000km,1610037100,1610155600,1610052900
201,460,3323,1,317.000000km,1610037100,1610106600,1610028800
201,3323,460,1,317.000000km,1610037100,1610106600,1610028800
202,490,516,1,865.000000km,1610028400,1610080700,1610028300
202,516,490,1,865.000000km,1610028400,1610080700,1610028300
203,2690,2710,1,155.000000km,1650045400,1650168800,1650057100
203,2710,2690,1,155.000000km,1650045400,1650168800,1650057100
204,2690,3324,1,148.000000km,1650057100,1650168700,1650045400
204,3324,2690,1,148.000000km,1650057100,1650168700,1650045400
205,2628,2690,1,302.000000km,1650057100,1650168600,1650057000
205,2690,2628,1,302.000000km,1650057100,1650168600,1650057000
206,2684,2690,1,109.000000km,1650056500,1650168500,1650057100
206,2690,2684,1,109.000000km,1650056500,1650168500,1650057100
207,2455,2475,1,127.000000km,1650038500,1650123400,1650038600
207,2475,2455,1,127.000000km,1650038500,1650123400,1650038600
208,2552,2565,1,99.000000km,1650033200,1650125800,1650040700
208,2565,2552,1,99.000000km,1650033200,1650125800,1650040700
209,1735,1915,1,1384.000000km,1640020700,1650101800,1630000200
209,1915,1735,1,1384.000000km,1640020700,1650101800,1630000200
210,2043,2046,1,171.000000km,1660001900,1660098200,1660030900
210,2046,2043,1,171.000000km,1660001900,1660098200,1660030900
211,474,489,1,501.000000km,1610064700,1610215100,1610069500
211,489,474,1,501.000000km,1610064700,1610215100,1610069500
212,3241,3242,1,675.000000km,1220008100,1220025000,1220010900
212,3242,3241,1,675.000000km,1220008100,1220025000,1220010900
213,3219,3223,1,316.000000km,1210007000,1210026100,1210007100
213,3223,3219,1,316.000000km,1210007000,1210026100,1210007100
214,3223,3325,1,318.000000km,1210007100,1210026000,1210007000
214,3325,3223,1,318.000000km,1210007100,1210026000,1210007000
215,833,856,1,213.000000km,2320017500,2320041600,2320013500
215,856,833,1,213.000000km,2320017500,2320041600,2320013500
216,681,686,1,765.000000km,2320016300,2320073500,2320005200
216,686,681,1,765.000000km,2320016300,2320073500,2320005200
217,681,3326,1,767.000000km,2320005200,2320073400,2320016300
217,3326,681,1,767.000000km,2320005200,2320073400,2320016300
218,686,688,1,60.000000km,2320005300,2320073300,2320016300
218,688,686,1,60.000000km,2320005300,2320073300,2320016300
219,686,3327,1,61.000000km,2320016300,2320073200,2320005300
219,3327,686,1,61.000000km,2320016300,2320073200,2320005300
220,816,833,1,103.000000km,2320017500,2320041500,2320005400
220,833,816,1,103.000000km,2320017500,2320041500,2320005400
221,816,3328,1,102.000000km,2320005400,2320032100,2320017500
221,3328,816,1,102.000000km,2320005400,2320032100,2320017500
222,537,559,1,844.000000km,2320009500,2320073000,2320013800
222,559,537,1,844.000000km,2320009500,2320073000,2320013800
223,806,3329,1,3724.000000km,2320005700,2320035500,2320015200
223,3329,806,1,3724.000000km,2320005700,2320035500,2320015200
224,861,871,1,496.000000km,2320022900,2320057400,2320022700
224,871,861,1,496.000000km,2320022900,2320057400,2320022700
225,636,646,1,318.000000km,1610063100,1610190000,1610034500
225,646,636,1,318.000000km,1610063100,1610190000,1610034500
226,633,636,1,75.000000km,1610063100,1610189900,1610020300
226,636,633,1,75.000000km,1610063100,1610189900,1610020300
227,556,582,1,676.000000km,1610063200,1610189800,1610062800
227,582,556,1,676.000000km,1610063200,1610189800,1610062800
228,549,556,1,404.000000km,1610063200,1610189700,1610045000
228,556,549,1,404.000000km,1610063200,1610189700,1610045000
229,653,788,1,5570.000000km,1640038600,1640136500,1640038800
229,788,653,1,5570.000000km,1640038600,1640136500,1640038800
230,788,966,1,2496.000000km,1640038600,1640136400,1640044000
