노선번호,﻿ISC노선ID,정류소순번,정류소명,정류장ID,정류소 이동시간,서비스시간
1,28010004,1,왕길동(기점),2804802,00:00:00,00:00:00
1,28010004,2,경인특장,2800361,00:01:31,00:00:03
1,28010004,3,경인계량소,2800359,00:00:58,00:00:03
1,28010004,4,왕길고가,2800357,00:01:07,00:00:03
1,28010004,5,금강종합상가,2805323,00:01:17,00:00:03
1,28010004,6,검단원흥아파트,2800474,00:02:02,00:00:47
1,28010004,7,대림아파트,2800329,00:00:29,00:00:02
1,28010004,8,검단사거리역,2800365,00:01:56,00:00:06
1,28010004,9,검단농협,2800445,00:00:27,00:00:06
1,28010004,10,검단농협,2805599,00:00:16,00:00:03
1,28010004,11,검단동행정복지센터(검단고교),2800437,00:00:46,00:00:28
1,28010004,12,검단초등학교,2800405,00:01:39,00:00:03
1,28010004,13,길훈아파트,2800400,00:02:36,00:00:05
1,28010004,14,동성아파트,2800398,00:01:28,00:00:05
1,28010004,15,불로대곡동행정복지센터,2800396,00:00:21,00:00:03
1,28010004,16,월드아파트,2800394,00:00:35,00:00:07
1,28010004,17,E편한세상,2804826,00:00:51,00:00:06
1,28010004,18,불로중학교,2804827,00:00:54,00:00:04
1,28010004,19,동아전기,2804828,00:00:54,00:00:02
1,28010004,20,김포교회,2800322,00:02:11,00:00:06
1,28010004,21,E편한세상,2800428,00:01:35,00:00:18
1,28010004,22,원당사거리.검단선사박물관,2800432,00:01:48,00:00:56
1,28010004,23,삼정프라자,2800435,00:00:39,00:00:10
1,28010004,24,참빛감리교회,2800440,00:01:36,00:00:13
1,28010004,25,청마마을,2800446,00:01:35,00:00:03
1,28010004,26,대우풍림아파트,2800393,00:01:05,00:00:32
1,28010004,27,당하메디칼,2800472,00:02:22,00:00:06
1,28010004,28,당하초등학교,2800478,00:00:45,00:00:09
1,28010004,29,당하대주파크빌,2800482,00:00:48,00:00:07
1,28010004,30,검단메가박스,2800488,00:00:24,00:01:05
1,28010004,31,독정역(서구동구예비군훈련장),2800494,00:02:36,00:00:00
1,28010004,32,백석중.고등학교,2800496,00:00:45,00:00:04
1,28010004,33,한들마을입구(유아교육진흥원),2800499,00:00:29,00:00:03
1,28010004,34,검암역입구,2805303,00:02:05,00:00:09
1,28010004,35,검암사거리,2800512,00:02:42,00:00:07
1,28010004,36,검바위역,2800521,00:00:54,00:00:07
1,28010004,37,대인고등학교,2800524,00:00:32,00:00:05
1,28010004,38,공촌사거리,2800539,00:02:26,00:00:06
1,28010004,39,공촌마을,2800545,00:01:24,00:00:11
1,28010004,40,연희동광명아파트(사계절썰매장),2800337,00:00:56,00:00:05
1,28010004,41,대동아파트,2800559,00:00:50,00:00:16
1,28010004,42,심곡초등학교(국제성모병원),2800572,00:00:27,00:00:15
1,28010004,43,인재개발원,2800578,00:01:01,00:00:14
1,28010004,44,한전서인천지점,2800580,00:03:22,00:00:19
1,28010004,45,심곡어린이도서관,2805741,00:00:25,00:00:05
1,28010004,46,심곡동광명아파트,2806742,00:02:02,00:00:06
1,28010004,47,LH웨스턴블루힐정문,2806744,00:03:27,00:00:05
1,28010004,48,가정LH3단지정문앞,2806174,00:02:14,00:00:43
1,28010004,49,루원시티프라디움,2806730,00:02:11,00:00:18
1,28010004,50,루원시티프라디움105동,2807462,00:00:44,00:00:04
1,28010004,51,가정(루원시티)역,2806214,00:01:57,00:00:05
1,28010004,52,하늘채아파트,2800622,00:04:02,00:00:07
1,28010004,53,신현쇼핑,2800627,00:01:39,00:00:27
1,28010004,54,신현치안센터,2800336,00:00:59,00:00:15
1,28010004,55,강남시장,2800658,00:00:52,00:00:06
1,28010004,56,성민병원,2800670,00:02:08,00:00:30
1,28010004,57,석남아파트,2800345,00:02:42,00:00:10
1,28010004,58,원적산터널서측,2803643,00:01:47,00:00:17
1,28010004,59,원적산터널,2803791,00:02:44,00:00:06
1,28010004,60,백마농협,2801474,00:00:57,00:00:04
1,28010004,61,부평우체국,2801464,00:00:33,00:00:03
1,28010004,62,금호아파트,2801178,00:01:45,00:00:21
1,28010004,63,부평경찰서,2801179,00:02:29,00:00:00
1,28010004,64,부평구청,2801439,00:01:36,00:00:05
1,28010004,65,부평여자고등학교,2801180,00:01:27,00:00:29
1,28010004,66,산곡교회,2801507,00:02:14,00:00:09
1,28010004,67,우성아파트,2801536,00:00:25,00:00:05
1,28010004,68,동아아파트,2801557,00:00:49,00:00:08
1,28010004,69,부평시장,2801602,00:01:44,00:00:05
1,28010004,70,부평역,2801647,00:04:11,00:00:08
1,28010004,71,굴다리오거리,2801634,00:01:02,00:00:25
1,28010004,72,동수치안센터,2801667,00:02:33,00:00:14
1,28010004,73,부평남부역입구,2801680,00:00:38,00:00:03
1,28010004,74,부평남초등학교,2801698,00:00:33,00:00:02
1,28010004,75,부일여자중학교,2801714,00:03:05,00:00:07
1,28010004,76,새마을금고,2801712,00:00:24,00:00:04
1,28010004,77,인천성모병원후문,2801701,00:00:46,00:00:05
1,28010004,78,인천성모병원정문,2805300,00:01:20,00:00:13
1,28010004,79,부평6동행정복지센터,2805804,00:07:42,00:01:39
1,28010004,80,예지아파트,2801168,00:00:43,00:00:04
1,28010004,81,인천예림학교(인천성모병원),2803645,00:01:34,00:02:28
1,28010004,82,동수치안센터,2801666,00:00:28,00:00:14
1,28010004,83,굴다리오거리,2801633,00:02:47,00:00:07
1,28010004,84,부평역(구보건소),2801192,00:00:34,00:00:58
1,28010004,85,부평시장,2801604,00:02:04,00:00:03
1,28010004,86,대우아파트,2801555,00:01:38,00:00:04
1,28010004,87,한국아파트,2801181,00:00:48,00:00:04
1,28010004,88,대림아파트,2801508,00:01:11,00:00:05
1,28010004,89,부평여자고등학교,2801482,00:01:48,00:01:53
1,28010004,90,부평구청,2801450,00:01:00,00:00:03
1,28010004,91,부평경찰서,2801438,00:02:34,00:00:28
1,28010004,92,금호아파트,2805321,00:01:22,00:00:03
1,28010004,93,쉐보레인천서비스,2801461,00:00:13,00:00:05
1,28010004,94,부평우체국,2801462,00:00:19,00:00:03
1,28010004,95,목련어린이집,2804438,00:01:48,00:00:11
1,28010004,96,원적산터널서측,2803644,00:02:47,00:00:29
1,28010004,97,석남고가사거리,2800676,00:01:45,00:00:06
1,28010004,98,성민병원,2800667,00:01:04,00:00:11
1,28010004,99,강남시장,2800657,00:00:29,00:00:03
1,28010004,100,신현치안센타,2800340,00:01:17,00:00:04
1,28010004,101,신현쇼핑,2800624,00:01:01,00:00:24
1,28010004,102,(구)신현주공,2800619,00:01:35,00:00:04
1,28010004,103,가정(루원시티)역,2806215,00:02:54,00:00:07
1,28010004,104,가정1동행정복지센터,2807461,00:00:50,00:00:06
1,28010004,105,루원호반베르디움,2806729,00:03:28,00:00:06
1,28010004,106,루원제일풍경채정문앞,2806175,00:01:20,00:00:07
1,28010004,107,LH웨스턴블루힐정문,2806745,00:01:13,00:00:05
1,28010004,108,심곡동광명아파트,2806743,00:02:54,00:00:09
1,28010004,109,심곡어린이도서관,2806902,00:01:21,00:00:12
1,28010004,110,한전서인천지점,2800582,00:00:36,00:00:09
1,28010004,111,인재개발원,2800579,00:02:59,00:00:06
1,28010004,112,심곡초등학교(국제성모병원),2800570,00:01:03,00:00:19
1,28010004,113,대동아파트,2800558,00:00:31,00:00:03
1,28010004,114,연희동광명아파트(사계절썰매장),2800552,00:00:36,00:00:08
1,28010004,115,공촌마을,2800338,00:00:48,00:00:06
1,28010004,116,공촌사거리,2800538,00:01:54,00:00:11
1,28010004,117,대인고등학교,2800525,00:02:10,00:00:04
1,28010004,118,검바위역,2800520,00:00:39,00:00:06
1,28010004,119,검암사거리,2800513,00:00:53,00:00:56
1,28010004,120,검암역입구,2805304,00:01:14,00:00:04
1,28010004,121,한들마을입구(유아교육진흥원),2800498,00:02:06,00:00:03
1,28010004,122,백석중.고등학교,2800497,00:00:19,00:00:02
1,28010004,123,독정역(서구동구예비군훈련장),2800493,00:01:02,00:00:08
1,28010004,124,당하지구아파트,2800489,00:02:29,00:00:07
1,28010004,125,KCC아파트,2800483,00:00:19,00:00:05
1,28010004,126,당하초등학교,2800475,00:01:17,00:00:06
1,28010004,127,당하푸르지오,2800471,00:00:38,00:00:05
1,28010004,128,대우푸르지오,2800467,00:00:41,00:00:05
1,28010004,129,청마마을,2800449,00:00:59,00:00:03
1,28010004,130,동문아파트,2800441,00:01:52,00:00:08
1,28010004,131,보람프라자앞,2800436,00:02:13,00:00:05
1,28010004,132,원당사거리.검단선사박물관,2800433,00:00:33,00:00:05
1,28010004,133,원당고등학교,2800425,00:02:54,00:00:06
1,28010004,134,김포교회,2800321,00:02:00,00:00:08
1,28010004,135,동아전기,2803560,00:02:53,00:00:01
1,28010004,136,불로중학교,2803561,00:01:37,00:00:03
1,28010004,137,E편한세상,2803562,00:00:47,00:00:05
1,28010004,138,월드아파트,2800395,00:01:50,00:00:19
1,28010004,139,불로대곡동행정복지센터,2800397,00:00:56,00:00:12
1,28010004,140,동성.길훈아파트,2800399,00:00:19,00:00:04
1,28010004,141,백두아파트,2800316,00:00:13,00:00:05
1,28010004,142,대상스틸,2805901,00:01:51,00:00:02
1,28010004,143,검단초등학교,2800410,00:00:54,00:00:15
1,28010004,144,검단동행정복지센터(검단고교),2800434,00:02:39,00:00:06
1,28010004,145,검단농협,2800443,00:00:35,00:00:08
1,28010004,146,검단사거리역,2800458,00:01:58,00:00:23
1,28010004,147,대림아파트,2800330,00:01:13,00:00:04
1,28010004,148,검단원흥아파트,2800473,00:00:32,00:00:06
1,28010004,149,대신철강,2805322,00:03:08,00:00:03
1,28010004,150,왕길고가,2800356,00:01:04,00:00:05
1,28010004,151,경인계량소,2800358,00:00:43,00:00:02
1,28010004,152,진표에너지,2800360,00:00:16,00:00:02
1,28010004,153,왕길동종점,2807347,00:02:00,00:00:08
1(강화),28032032,1,강화터미널,2806577,00:00:00,00:00:00
1(강화),28032032,2,축협,2800268,00:08:41,00:00:06
1(강화),28032032,3,강화군청,2800264,00:00:54,00:00:11
1(강화),28032032,4,중앙시장,2807245,00:01:08,00:00:23
1(강화),28032032,5,강화슈퍼,2800262,00:00:15,00:00:40
1(강화),28032032,6,여고입구,2807367,00:01:18,00:00:03
1(강화),28032032,7,강화서문,2800265,00:00:21,00:00:02
1(강화),28032032,8,진고개(5연대입구),2803682,00:00:48,00:00:06
1(강화),28032032,9,강화아시아드BMX경기장,2807369,00:00:40,00:00:02
1(강화),28032032,10,고인돌체육관앞,2804135,00:00:07,00:00:02
1(강화),28032032,11,송해교회,2803684,00:00:28,00:00:02
1(강화),28032032,12,송해삼거리,2803685,00:00:33,00:00:39
1(강화),28032032,13,전원미술관앞,2803686,00:00:54,00:00:02
1(강화),28032032,14,오류내,2803687,00:00:26,00:00:02
1(강화),28032032,15,파라다이스공원,2804667,00:00:39,00:00:03
1(강화),28032032,16,부근삼거리,2803688,00:00:19,00:00:02
1(강화),28032032,17,하점공단,2803689,00:00:34,00:00:03
1(강화),28032032,18,강화역사박물관(고인돌),2803690,00:00:12,00:00:02
1(강화),28032032,19,하점우체국,2803691,00:01:04,00:00:03
1(강화),28032032,20,석조여래입상앞,2804136,00:01:12,00:00:02
1(강화),28032032,21,도간마을,2804665,00:00:26,00:00:02
1(강화),28032032,22,장정2리마을회관,2804138,00:00:56,00:00:06
1(강화),28032032,23,인천대검도수련원,2804663,00:00:30,00:00:02
1(강화),28032032,24,김지곡,2804142,00:01:03,00:00:02
1(강화),28032032,25,양오1리마을회관,2804145,00:00:32,00:00:29
1(강화),28032032,26,양오2리경로당,2804661,00:01:09,00:00:27
1(강화),28032032,27,화문석문화관,2804660,00:00:57,00:00:03
1(강화),28032032,28,자연사박물관,2804658,00:00:29,00:00:06
1(강화),28032032,29,박물관앞,2804164,00:00:19,00:00:03
1(강화),28032032,30,당산리검문소,2804166,00:00:54,00:00:25
1(강화),28032032,31,당산리,2804656,00:00:40,00:00:20
1(강화),28032032,32,당산종점,2804168,00:00:28,00:00:02
1(강화),28032032,33,덕하교앞,2806206,00:00:50,00:00:02
1(강화),28032032,34,철산리입구,2804654,00:00:41,00:00:02
1(강화),28032032,35,철곶,2804651,00:00:46,00:00:02
1(강화),28032032,36,평화전망대,2804649,00:00:18,00:00:02
1(강화),28032032,37,제적봉입구,2804648,00:01:59,00:00:04
1(강화),28032032,38,제적봉앞마을,2807374,00:00:18,00:00:02
1(강화),28032032,39,요곡,2804646,00:00:25,00:00:23
1(강화),28032032,40,북성교회,2804327,00:00:21,00:00:03
1(강화),28032032,41,외뜰,2804329,00:00:15,00:00:02
1(강화),28032032,42,구북성초교,2804645,00:00:23,00:00:03
1(강화),28032032,43,생설미입구,2804643,00:00:27,00:00:01
1(강화),28032032,44,목장앞,2804197,00:00:14,00:00:02
1(강화),28032032,45,마미,2804195,00:00:20,00:00:02
1(강화),28032032,46,교산리입구,2804717,00:00:27,00:00:03
1(강화),28032032,47,응곡,2804193,00:00:10,00:00:02
1(강화),28032032,48,덕응,2804191,00:00:33,00:00:02
1(강화),28032032,49,덕음,2806153,00:00:10,00:00:03
1(강화),28032032,50,양사면사무소,2804189,00:00:20,00:00:02
1(강화),28032032,51,덕고개삼거리,2804641,00:00:24,00:00:03
1(강화),28032032,52,상덕현삼거리,2804740,00:00:43,00:02:02
1(강화),28032032,53,신봉삼거리,2804794,00:02:00,00:00:05
1(강화),28032032,54,검문소,2803702,00:01:03,00:00:03
1(강화),28032032,55,하점순복음교회,2807371,00:00:16,00:00:02
1(강화),28032032,56,이강리방앗간,2803737,00:00:16,00:00:03
1(강화),28032032,57,이현(이강리교회),2803735,00:00:14,00:00:02
1(강화),28032032,58,강서중학교,2803734,00:00:24,00:00:02
1(강화),28032032,59,성경,2803732,00:00:24,00:00:03
1(강화),28032032,60,모현,2803730,00:00:18,00:00:01
1(강화),28032032,61,창후리입구,2803728,00:00:22,00:00:02
1(강화),28032032,62,신삼리입구,2803751,00:01:41,00:00:03
1(강화),28032032,63,망월입구,2804639,00:00:19,00:00:03
1(강화),28032032,64,다운1리,2803750,00:00:10,00:00:03
1(강화),28032032,65,다운,2803752,00:00:12,00:00:03
1(강화),28032032,66,산화고개,2803723,00:00:39,00:00:02
1(강화),28032032,67,고상골,2803721,00:00:28,00:00:03
1(강화),28032032,68,농어촌공사앞,2803718,00:00:20,00:00:03
1(강화),28032032,69,오상입구,2803720,00:00:52,00:00:01
1(강화),28032032,70,고려저수지입구,2803719,00:00:40,00:00:04
1(강화),28032032,71,내가초등학교,2803711,00:00:21,00:00:05
1(강화),28032032,72,내가면사무소(사무소),2806217,00:00:08,00:00:04
1(강화),28032032,73,내가시장,2803708,00:00:29,00:00:05
1(강화),28032032,74,삼량중고등학교,2803706,00:00:42,00:00:03
1(강화),28032032,75,외포고개,2804634,00:01:12,00:00:02
1(강화),28032032,76,외포리소공원,2803705,00:02:00,00:00:05
1(강화),28032032,77,외포리,2803703,00:01:12,00:00:56
1(강화),28032032,78,외포삼거리,2804580,00:01:17,00:00:04
1(강화),28032032,79,소게,2804213,00:00:35,00:00:02
1(강화),28032032,80,외주,2804211,00:00:21,00:00:02
1(강화),28032032,81,외포리정미소,2804209,00:00:28,00:00:02
1(강화),28032032,82,누촌,2804207,00:00:21,00:00:02
1(강화),28032032,83,야곡,2804205,00:00:42,00:00:03
1(강화),28032032,84,황골,2804204,00:00:11,00:00:02
1(강화),28032032,85,서성,2806290,00:00:19,00:00:02
1(강화),28032032,86,느티나무,2804202,00:00:47,00:00:04
1(강화),28032032,87,능미,2806292,00:00:15,00:00:02
1(강화),28032032,88,비선삼거리,2803609,00:00:33,00:00:02
1(강화),28032032,89,양왕마을,2806232,00:00:25,00:00:03
1(강화),28032032,90,인산저수지,2803608,00:00:28,00:00:14
1(강화),28032032,91,농업기술센터,2803607,00:01:30,00:00:05
1(강화),28032032,92,서문안,2803606,00:00:19,00:00:02
1(강화),28032032,93,서문안주유소,2806297,00:01:15,00:00:02
1(강화),28032032,94,농도원,2803616,00:00:23,00:00:03
1(강화),28032032,95,안양대학교,2803853,00:00:33,00:00:03
1(강화),28032032,96,메제미,2803850,00:00:26,00:00:03
1(강화),28032032,97,돌성,2803617,00:00:35,00:00:02
1(강화),28032032,98,구렁목,2806299,00:00:54,00:00:05
1(강화),28032032,99,울레기,2803618,00:00:21,00:00:03
1(강화),28032032,100,옥금말,2806300,00:00:19,00:00:02
1(강화),28032032,101,찬우물,2803600,00:01:40,00:00:03
1(강화),28032032,102,세광아파트,2800273,00:00:30,00:00:03
1(강화),28032032,103,세광2차아파트,2803601,00:00:15,00:00:18
1(강화),28032032,104,창골,2804331,00:00:15,00:00:03
1(강화),28032032,105,대문리고개입구,2803581,00:00:34,00:00:25
1(강화),28032032,106,창리,2800271,00:00:36,00:00:03
1(강화),28032032,107,산림조합앞,2805489,00:00:30,00:00:03
1(강화),28032032,108,강화장례식장,2807150,00:00:20,00:00:04
1(강화),28032032,109,구보건소,2804581,00:02:13,00:00:04
1(강화),28032032,110,강화문화원.종합전시관,2804582,00:00:42,00:00:03
1(강화),28032032,111,수협,2800267,00:02:09,00:00:33
1(강화),28032032,112,풍물시장,2804032,00:03:05,00:00:23
1(강화),28032032,113,강화터미널,2800269,00:02:00,00:00:05
10,28011002,1,월미도(시티투어),2803265,00:00:00,00:00:00
10,28011002,2,월미문화의거리,2805984,00:02:00,00:00:05
10,28011002,3,월미테마파크,2805985,00:00:25,00:00:03
10,28011002,4,해사고등학교,2805986,00:00:50,00:00:04
10,28011002,5,갑문,2805987,00:00:21,00:00:03
10,28011002,6,삼양베이커,2806678,00:00:32,00:00:03
10,28011002,7,월미공원,2805988,00:00:28,00:00:02
10,28011002,8,월미공원역,2804860,00:00:51,00:00:05
10,28011002,9,선창산업,2803247,00:00:47,00:00:02
10,28011002,10,8부두,2803235,00:00:48,00:00:03
10,28011002,11,인천역(차이나타운),2803238,00:01:37,00:00:09
10,28011002,12,송월동동화마을,2803228,00:00:48,00:00:06
10,28011002,13,송월시장,2803224,00:00:19,00:00:04
10,28011002,14,송월동행정복지센터,2803220,00:00:35,00:00:07
10,28011002,15,전동교회,2803218,00:00:40,00:00:33
10,28011002,16,동인천역,2803225,00:01:18,00:00:16
10,28011002,17,동구청,2803130,00:02:44,00:00:05
10,28011002,18,송림시장,2803126,00:01:33,00:00:10
10,28011002,19,동산고,2803123,00:01:07,00:00:05
10,28011002,20,동산교회,2803131,00:00:45,00:00:08
10,28011002,21,도화동신협(구박문여고),2803137,00:02:32,00:00:07
10,28011002,22,인화여고,2805441,00:00:20,00:00:05
10,28011002,23,제물포역,2802629,00:01:25,00:00:19
10,28011002,24,상수도사업본부(스마트타운),2802719,00:00:57,00:00:03
10,28011002,25,도화오거리,2802709,00:00:43,00:00:06
10,28011002,26,대화초등학교,2802703,00:02:54,00:00:09
10,28011002,27,신태양아파트,2802693,00:00:33,00:00:20
10,28011002,28,태화아파트,2802688,00:00:55,00:00:04
10,28011002,29,주안북초등학교,2802684,00:00:21,00:00:02
10,28011002,30,주안북부역,2802681,00:00:25,00:00:08
10,28011002,31,주안국민은행,2802676,00:01:17,00:00:16
10,28011002,32,광명아파트,2802670,00:01:15,00:00:06
10,28011002,33,간석역,2802023,00:03:21,00:00:07
10,28011002,34,간석종합시장,2801985,00:00:35,00:00:03
10,28011002,35,동암역,2801799,00:00:54,00:00:26
10,28011002,36,십정초등학교,2801777,00:01:39,00:00:18
10,28011002,37,십정고개,2801772,00:00:22,00:00:05
10,28011002,38,백영아파트,2801766,00:01:55,00:00:15
10,28011002,39,상정고,2801756,00:00:33,00:00:16
10,28011002,40,백운공원(부평아트센터),2801749,00:00:35,00:00:03
10,28011002,41,부평도서관,2801743,00:00:25,00:00:12
10,28011002,42,현대아파트,2801185,00:01:11,00:00:08
10,28011002,43,2001아울렛,2801687,00:02:19,00:00:14
10,28011002,44,부원중학교,2801184,00:00:42,00:00:17
10,28011002,45,부평역(대한극장),2801659,00:01:10,00:00:07
10,28011002,46,한남시티플라자,2801612,00:01:35,00:00:09
10,28011002,47,부평시장,2801582,00:01:14,00:00:07
10,28011002,48,부흥오거리(소망병원),2801516,00:01:01,00:01:22
10,28011002,49,나누리병원,2801189,00:00:23,00:00:28
10,28011002,50,더필립요양병원,2801440,00:01:59,00:00:07
10,28011002,51,굴포천역(신복사거리),2801421,00:00:29,00:00:07
10,28011002,52,굴포천역(롯데마트),2801160,00:02:02,00:00:20
10,28011002,53,삼산타운1단지,2801330,00:01:52,00:00:02
10,28011002,54,삼산사거리(한국아파트),2801281,00:01:45,00:00:04
10,28011002,55,대보아파트,2801271,00:02:50,00:00:06
10,28011002,56,삼산새마을금고,2801262,00:00:28,00:00:23
10,28011002,57,삼보아파트,2801252,00:00:40,00:00:08
10,28011002,58,현대아파트,2801250,00:00:10,00:00:07
10,28011002,59,미래타운1.2단지,2801248,00:00:28,00:00:07
10,28011002,60,미래타운3.4단지,2801245,00:01:35,00:00:18
10,28011002,61,삼산농산물시장,2801244,00:00:53,00:00:15
10,28011002,62,휴먼시아1단지,2805070,00:00:33,00:00:04
