$VEHJOURNEY:NO,NAME,DEP,LINENAME,LINEROUTENAME,DIRECTIONCODE,TIMEPROFILENAME,FROMTPROFITEMINDEX,TOTPROFITEMINDEX,OPERATORNO,ADDVAL1,ADDVAL2,ADDVAL3,SERVTRIPPATNO
1,,11:17:30,28302034,9(강화),>,1,1,21,,0,0,0,0
2,,14:20:00,28302034,9(강화),>,1,1,21,,0,0,0,0
3,,17:22:30,28302034,9(강화),>,1,1,21,,0,0,0,0
4,,20:25:00,28302034,9(강화),>,1,1,21,,0,0,0,0
5,,09:12:30,28032036,10(강화),>,1,1,34,,0,0,0,0
6,,10:20:00,28032036,10(강화),>,1,1,34,,0,0,0,0
7,,11:27:30,28032036,10(강화),>,1,1,34,,0,0,0,0
8,,12:35:00,28032036,10(강화),>,1,1,34,,0,0,0,0
9,,13:42:30,28032036,10(강화),>,1,1,34,,0,0,0,0
10,,14:50:00,28032036,10(강화),>,1,1,34,,0,0,0,0
11,,15:57:30,28032036,10(강화),>,1,1,34,,0,0,0,0
12,,17:05:00,28032036,10(강화),>,1,1,34,,0,0,0,0
13,,18:12:30,28032036,10(강화),>,1,1,34,,0,0,0,0
14,,19:20:00,28032036,10(강화),>,1,1,34,,0,0,0,0
15,,20:27:30,28032036,10(강화),>,1,1,34,,0,0,0,0
16,,07:00:00,28302021,10A(강화),>,1,1,42,,0,0,0,0
17,,07:50:00,28302021,10A(강화),>,1,1,42,,0,0,0,0
18,,08:02:30,28032037,11(강화),>,1,1,22,,0,0,0,0
19,,09:35:00,28032037,11(강화),>,1,1,22,,0,0,0,0
20,,11:07:30,28032037,11(강화),>,1,1,22,,0,0,0,0
21,,12:40:00,28032037,11(강화),>,1,1,22,,0,0,0,0
22,,14:12:30,28032037,11(강화),>,1,1,22,,0,0,0,0
23,,15:45:00,28032037,11(강화),>,1,1,22,,0,0,0,0
24,,17:17:30,28032037,11(강화),>,1,1,22,,0,0,0,0
25,,18:50:00,28032037,11(강화),>,1,1,22,,0,0,0,0
26,,20:22:30,28032037,11(강화),>,1,1,22,,0,0,0,0
27,,07:17:30,28302026,11A(강화),>,1,1,32,,0,0,0,0
28,,08:05:00,28302026,11A(강화),>,1,1,32,,0,0,0,0
29,,08:52:30,28302026,11A(강화),>,1,1,32,,0,0,0,0
30,,11:40:00,28302022,12A(강화),>,1,1,47,,0,0,0,0
31,,10:27:30,28032040,14(강화),>,1,1,29,,0,0,0,0
32,,12:40:00,28032040,14(강화),>,1,1,29,,0,0,0,0
33,,14:52:30,28032040,14(강화),>,1,1,29,,0,0,0,0
34,,17:05:00,28032040,14(강화),>,1,1,29,,0,0,0,0
35,,19:17:30,28032040,14(강화),>,1,1,29,,0,0,0,0
36,,21:30:00,28032040,14(강화),>,1,1,29,,0,0,0,0
37,,23:42:30,28032040,14(강화),>,1,1,29,,0,0,0,0
38,,07:15:00,28032041,15(강화),>,1,1,26,,0,0,0,0
39,,08:00:00,28032041,15(강화),>,1,1,26,,0,0,0,0
40,,09:12:30,28032043,17(강화),>,1,1,39,,0,0,0,0
41,,11:15:00,28032043,17(강화),>,1,1,39,,0,0,0,0
42,,13:17:30,28032043,17(강화),>,1,1,39,,0,0,0,0
43,,15:20:00,28032043,17(강화),>,1,1,39,,0,0,0,0
44,,17:22:30,28032043,17(강화),>,1,1,39,,0,0,0,0
45,,19:25:00,28032043,17(강화),>,1,1,39,,0,0,0,0
46,,21:27:30,28032043,17(강화),>,1,1,39,,0,0,0,0
47,,07:20:00,28302007,18(강화),>,1,1,107,,0,0,0,0
48,,08:30:00,28302007,18(강화),>,1,1,107,,0,0,0,0
49,,09:40:00,28302007,18(강화),>,1,1,107,,0,0,0,0
50,,10:50:00,28302007,18(강화),>,1,1,107,,0,0,0,0
51,,12:00:00,28302007,18(강화),>,1,1,107,,0,0,0,0
52,,13:10:00,28302007,18(강화),>,1,1,107,,0,0,0,0
53,,14:20:00,28302007,18(강화),>,1,1,107,,0,0,0,0
54,,15:30:00,28302007,18(강화),>,1,1,107,,0,0,0,0
55,,16:40:00,28302007,18(강화),>,1,1,107,,0,0,0,0
56,,17:50:00,28302007,18(강화),>,1,1,107,,0,0,0,0
57,,19:00:00,28302007,18(강화),>,1,1,107,,0,0,0,0
58,,09:05:00,28302040,19(강화),>,1,1,16,,0,0,0,0
59,,09:07:30,28032044,20(강화),>,1,1,46,,0,0,0,0
60,,10:55:00,28032044,20(강화),>,1,1,46,,0,0,0,0
61,,12:42:30,28032044,20(강화),>,1,1,46,,0,0,0,0
62,,14:30:00,28032044,20(강화),>,1,1,46,,0,0,0,0
63,,16:17:30,28032044,20(강화),>,1,1,46,,0,0,0,0
64,,18:05:00,28032044,20(강화),>,1,1,46,,0,0,0,0
65,,19:52:30,28032044,20(강화),>,1,1,46,,0,0,0,0
66,,21:40:00,28032044,20(강화),>,1,1,46,,0,0,0,0
67,,08:52:30,28032045,21(강화),>,1,1,46,,0,0,0,0
68,,11:40:00,28032045,21(강화),>,1,1,46,,0,0,0,0
69,,14:27:30,28032045,21(강화),>,1,1,46,,0,0,0,0
70,,17:15:00,28032045,21(강화),>,1,1,46,,0,0,0,0
71,,20:02:30,28032045,21(강화),>,1,1,46,,0,0,0,0
72,,22:50:00,28032045,21(강화),>,1,1,46,,0,0,0,0
73,,12:22:30,28302004,22(강화),>,1,1,48,,0,0,0,0
74,,17:00:00,28302004,22(강화),>,1,1,48,,0,0,0,0
75,,21:37:30,28302004,22(강화),>,1,1,48,,0,0,0,0
76,,13:57:30,28032047,23(강화),>,1,1,56,,0,0,0,0
77,,21:25:00,28032047,23(강화),>,1,1,56,,0,0,0,0
78,,07:55:00,28032048,24(강화),>,1,1,91,,0,0,0,0
79,,09:20:00,28032048,24(강화),>,1,1,91,,0,0,0,0
80,,10:45:00,28032048,24(강화),>,1,1,91,,0,0,0,0
81,,12:10:00,28032048,24(강화),>,1,1,91,,0,0,0,0
82,,13:35:00,28032048,24(강화),>,1,1,91,,0,0,0,0
83,,15:00:00,28032048,24(강화),>,1,1,91,,0,0,0,0
84,,16:25:00,28032048,24(강화),>,1,1,91,,0,0,0,0
85,,08:15:00,28032049,25(강화),>,1,1,92,,0,0,0,0
86,,09:50:00,28032049,25(강화),>,1,1,92,,0,0,0,0
87,,11:25:00,28032049,25(강화),>,1,1,92,,0,0,0,0
88,,13:00:00,28032049,25(강화),>,1,1,92,,0,0,0,0
89,,14:35:00,28032049,25(강화),>,1,1,92,,0,0,0,0
90,,16:10:00,28032049,25(강화),>,1,1,92,,0,0,0,0
91,,17:45:00,28032049,25(강화),>,1,1,92,,0,0,0,0
92,,09:10:00,28032050,26(강화),>,1,1,68,,0,0,0,0
93,,12:00:00,28032050,26(강화),>,1,1,68,,0,0,0,0
94,,14:50:00,28032050,26(강화),>,1,1,68,,0,0,0,0
