$VEHJOURNEY:NO,NAME,DEP,LINENAME,LINEROUTENAME,DIRECTIONCODE,TIMEPROFILENAME,FROMTPROFITEMINDEX,TOTPROFITEMINDEX,OPERATORNO,ADDVAL1,ADDVAL2,ADDVAL3,SERVTRIPPATNO
95,,17:40:00,28032050,26(강화),>,1,1,68,,0,0,0,0
96,,20:30:00,28032050,26(강화),>,1,1,68,,0,0,0,0
97,,23:20:00,28032050,26(강화),>,1,1,68,,0,0,0,0
98,,07:00:00,28032051,27(강화),>,1,1,69,,0,0,0,0
99,,08:00:00,28032051,27(강화),>,1,1,69,,0,0,0,0
100,,09:00:00,28032051,27(강화),>,1,1,69,,0,0,0,0
101,,10:00:00,28032051,27(강화),>,1,1,69,,0,0,0,0
102,,11:00:00,28032051,27(강화),>,1,1,69,,0,0,0,0
103,,12:00:00,28032051,27(강화),>,1,1,69,,0,0,0,0
104,,06:57:30,28032052,30(강화),>,1,1,100,,0,0,0,0
105,,08:05:00,28032052,30(강화),>,1,1,100,,0,0,0,0
106,,09:12:30,28032052,30(강화),>,1,1,100,,0,0,0,0
107,,10:20:00,28032052,30(강화),>,1,1,100,,0,0,0,0
108,,11:27:30,28032052,30(강화),>,1,1,100,,0,0,0,0
109,,12:35:00,28032052,30(강화),>,1,1,100,,0,0,0,0
110,,13:42:30,28032052,30(강화),>,1,1,100,,0,0,0,0
111,,14:50:00,28032052,30(강화),>,1,1,100,,0,0,0,0
112,,15:57:30,28032052,30(강화),>,1,1,100,,0,0,0,0
113,,17:05:00,28032052,30(강화),>,1,1,100,,0,0,0,0
114,,18:12:30,28032052,30(강화),>,1,1,100,,0,0,0,0
115,,19:20:00,28032052,30(강화),>,1,1,100,,0,0,0,0
116,,20:27:30,28032052,30(강화),>,1,1,100,,0,0,0,0
117,,21:35:00,28032052,30(강화),>,1,1,100,,0,0,0,0
118,,22:42:30,28032052,30(강화),>,1,1,100,,0,0,0,0
119,,14:30:00,28032053,31A(강화),>,1,1,117,,0,0,0,0
120,,17:00:00,28032053,31A(강화),>,1,1,117,,0,0,0,0
121,,19:30:00,28032053,31A(강화),>,1,1,117,,0,0,0,0
122,,06:55:00,28032054,32(강화),>,1,1,84,,0,0,0,0
123,,07:30:00,28032054,32(강화),>,1,1,84,,0,0,0,0
124,,08:05:00,28032054,32(강화),>,1,1,84,,0,0,0,0
125,,08:40:00,28032054,32(강화),>,1,1,84,,0,0,0,0
126,,09:15:00,28032054,32(강화),>,1,1,84,,0,0,0,0
127,,09:50:00,28032054,32(강화),>,1,1,84,,0,0,0,0
128,,10:25:00,28032054,32(강화),>,1,1,84,,0,0,0,0
129,,11:00:00,28032054,32(강화),>,1,1,84,,0,0,0,0
130,,11:35:00,28032054,32(강화),>,1,1,84,,0,0,0,0
131,,12:10:00,28032054,32(강화),>,1,1,84,,0,0,0,0
132,,12:45:00,28032054,32(강화),>,1,1,84,,0,0,0,0
133,,07:00:00,28032055,33(강화),>,1,1,70,,0,0,0,0
134,,07:50:00,28032055,33(강화),>,1,1,70,,0,0,0,0
135,,08:40:00,28032055,33(강화),>,1,1,70,,0,0,0,0
136,,09:30:00,28032055,33(강화),>,1,1,70,,0,0,0,0
137,,10:20:00,28032055,33(강화),>,1,1,70,,0,0,0,0
138,,11:10:00,28032055,33(강화),>,1,1,70,,0,0,0,0
139,,12:00:00,28032055,33(강화),>,1,1,70,,0,0,0,0
140,,12:50:00,28032055,33(강화),>,1,1,70,,0,0,0,0
141,,13:40:00,28032055,33(강화),>,1,1,70,,0,0,0,0
142,,14:30:00,28032055,33(강화),>,1,1,70,,0,0,0,0
143,,10:42:30,28032056,34(강화),>,1,1,74,,0,0,0,0
144,,14:35:00,28032056,34(강화),>,1,1,74,,0,0,0,0
145,,18:27:30,28032056,34(강화),>,1,1,74,,0,0,0,0
146,,20:00:00,28302037,35A(강화),>,1,1,134,,0,0,0,0
147,,13:50:00,28302038,35B(강화),>,1,1,134,,0,0,0,0
148,,07:25:00,28032059,37(강화),>,1,1,104,,0,0,0,0
149,,08:50:00,28032059,37(강화),>,1,1,104,,0,0,0,0
150,,10:15:00,28032059,37(강화),>,1,1,104,,0,0,0,0
151,,11:40:00,28032059,37(강화),>,1,1,104,,0,0,0,0
152,,13:05:00,28032059,37(강화),>,1,1,104,,0,0,0,0
153,,14:30:00,28032059,37(강화),>,1,1,104,,0,0,0,0
154,,15:55:00,28032059,37(강화),>,1,1,104,,0,0,0,0
155,,17:20:00,28032059,37(강화),>,1,1,104,,0,0,0,0
156,,18:45:00,28032059,37(강화),>,1,1,104,,0,0,0,0
157,,20:10:00,28032059,37(강화),>,1,1,104,,0,0,0,0
158,,14:30:00,28302042,39(강화),>,1,1,47,,0,0,0,0
159,,18:00:00,28302042,39(강화),>,1,1,47,,0,0,0,0
160,,21:30:00,28302042,39(강화),>,1,1,47,,0,0,0,0
161,,10:30:00,28302043,39A(강화),>,1,1,148,,0,0,0,0
162,,07:35:00,28032060,40(강화),>,1,1,80,,0,0,0,0
163,,09:00:00,28032060,40(강화),>,1,1,80,,0,0,0,0
164,,10:25:00,28032060,40(강화),>,1,1,80,,0,0,0,0
165,,11:50:00,28032060,40(강화),>,1,1,80,,0,0,0,0
166,,13:15:00,28032060,40(강화),>,1,1,80,,0,0,0,0
167,,14:40:00,28032060,40(강화),>,1,1,80,,0,0,0,0
168,,16:05:00,28032060,40(강화),>,1,1,80,,0,0,0,0
169,,17:30:00,28032060,40(강화),>,1,1,80,,0,0,0,0
170,,18:55:00,28032060,40(강화),>,1,1,80,,0,0,0,0
171,,20:20:00,28032060,40(강화),>,1,1,80,,0,0,0,0
172,,21:45:00,28032060,40(강화),>,1,1,80,,0,0,0,0
173,,23:10:00,28032060,40(강화),>,1,1,80,,0,0,0,0
174,,08:45:00,28032061,41(강화),>,1,1,110,,0,0,0,0
175,,09:30:00,28032061,41(강화),>,1,1,110,,0,0,0,0
176,,10:15:00,28032061,41(강화),>,1,1,110,,0,0,0,0
177,,11:00:00,28032061,41(강화),>,1,1,110,,0,0,0,0
178,,11:45:00,28032061,41(강화),>,1,1,110,,0,0,0,0
179,,12:30:00,28032061,41(강화),>,1,1,110,,0,0,0,0
180,,13:15:00,28032061,41(강화),>,1,1,110,,0,0,0,0
181,,08:40:00,28032062,42(강화),>,1,1,92,,0,0,0,0
182,,10:15:00,28032062,42(강화),>,1,1,92,,0,0,0,0
183,,11:50:00,28032062,42(강화),>,1,1,92,,0,0,0,0
184,,15:40:00,28032063,43(강화),>,1,1,125,,0,0,0,0
185,,24:10:00,28032063,43(강화),>,1,1,125,,0,0,0,0
186,,10:25:00,28032064,44(강화),>,1,1,98,,0,0,0,0
187,,13:55:00,28032064,44(강화),>,1,1,98,,0,0,0,0
188,,17:25:00,28032064,44(강화),>,1,1,98,,0,0,0,0
189,,20:55:00,28032064,44(강화),>,1,1,98,,0,0,0,0
190,,12:50:00,28302039,44A(강화),>,1,1,65,,0,0,0,0
191,,07:50:00,28032065,45(강화),>,1,1,60,,0,0,0,0
192,,09:40:00,28032065,45(강화),>,1,1,60,,0,0,0,0
193,,11:30:00,28032065,45(강화),>,1,1,60,,0,0,0,0
194,,13:20:00,28032065,45(강화),>,1,1,60,,0,0,0,0
195,,15:10:00,28032065,45(강화),>,1,1,60,,0,0,0,0
196,,17:00:00,28032065,45(강화),>,1,1,60,,0,0,0,0
197,,18:50:00,28032065,45(강화),>,1,1,60,,0,0,0,0
198,,20:40:00,28032065,45(강화),>,1,1,60,,0,0,0,0
199,,22:30:00,28032065,45(강화),>,1,1,60,,0,0,0,0
200,,07:55:00,28032068,48(강화),>,1,1,78,,0,0,0,0
201,,09:25:00,28032068,48(강화),>,1,1,78,,0,0,0,0
202,,10:55:00,28032068,48(강화),>,1,1,78,,0,0,0,0
203,,12:25:00,28032068,48(강화),>,1,1,78,,0,0,0,0
204,,13:55:00,28032068,48(강화),>,1,1,78,,0,0,0,0
205,,15:25:00,28032068,48(강화),>,1,1,78,,0,0,0,0
206,,16:55:00,28032068,48(강화),>,1,1,78,,0,0,0,0
207,,18:25:00,28032068,48(강화),>,1,1,78,,0,0,0,0
208,,19:55:00,28032068,48(강화),>,1,1,78,,0,0,0,0
209,,21:25:00,28032068,48(강화),>,1,1,78,,0,0,0,0
210,,22:55:00,28032068,48(강화),>,1,1,78,,0,0,0,0
211,,08:07:30,28032058,49(강화),>,1,1,113,,0,0,0,0
212,,10:35:00,28032058,49(강화),>,1,1,113,,0,0,0,0
213,,13:02:30,28032058,49(강화),>,1,1,113,,0,0,0,0
214,,15:30:00,28032058,49(강화),>,1,1,113,,0,0,0,0
215,,17:57:30,28032058,49(강화),>,1,1,113,,0,0,0,0
216,,20:25:00,28032058,49(강화),>,1,1,113,,0,0,0,0
217,,22:52:30,28032058,49(강화),>,1,1,113,,0,0,0,0
218,,21:30:00,28032069,50(강화),>,1,1,60,,0,0,0,0
219,,36:50:00,28032069,50(강화),>,1,1,60,,0,0,0,0
220,,07:05:00,28032070,51(강화),>,1,1,105,,0,0,0,0
221,,07:55:00,28032070,51(강화),>,1,1,105,,0,0,0,0
222,,08:45:00,28032070,51(강화),>,1,1,105,,0,0,0,0
223,,09:35:00,28032070,51(강화),>,1,1,105,,0,0,0,0
224,,10:25:00,28032070,51(강화),>,1,1,105,,0,0,0,0
225,,11:15:00,28032070,51(강화),>,1,1,105,,0,0,0,0
226,,12:05:00,28032070,51(강화),>,1,1,105,,0,0,0,0
227,,12:55:00,28032070,51(강화),>,1,1,105,,0,0,0,0
228,,08:52:30,28032071,52(강화),>,1,1,69,,0,0,0,0
229,,11:35:00,28032071,52(강화),>,1,1,69,,0,0,0,0
230,,14:17:30,28032071,52(강화),>,1,1,69,,0,0,0,0
231,,17:00:00,28032071,52(강화),>,1,1,69,,0,0,0,0
232,,19:42:30,28032071,52(강화),>,1,1,69,,0,0,0,0
233,,22:25:00,28032071,52(강화),>,1,1,69,,0,0,0,0
234,,11:30:00,28302024,53A(강화),>,1,1,82,,0,0,0,0
235,,08:00:00,28032073,54(강화),>,1,1,74,,0,0,0,0
236,,09:55:00,28032073,54(강화),>,1,1,74,,0,0,0,0
237,,11:50:00,28032073,54(강화),>,1,1,74,,0,0,0,0
238,,13:45:00,28032073,54(강화),>,1,1,74,,0,0,0,0
239,,15:40:00,28032073,54(강화),>,1,1,74,,0,0,0,0
240,,17:35:00,28032073,54(강화),>,1,1,74,,0,0,0,0
241,,19:30:00,28032073,54(강화),>,1,1,74,,0,0,0,0
242,,21:25:00,28032073,54(강화),>,1,1,74,,0,0,0,0
243,,07:50:00,28032074,55(강화),>,1,1,100,,0,0,0,0
244,,09:40:00,28032074,55(강화),>,1,1,100,,0,0,0,0
245,,11:30:00,28032074,55(강화),>,1,1,100,,0,0,0,0
246,,13:20:00,28032074,55(강화),>,1,1,100,,0,0,0,0
247,,15:10:00,28032074,55(강화),>,1,1,100,,0,0,0,0
248,,17:00:00,28032074,55(강화),>,1,1,100,,0,0,0,0
249,,18:50:00,28032074,55(강화),>,1,1,100,,0,0,0,0
250,,20:40:00,28032074,55(강화),>,1,1,100,,0,0,0,0
251,,11:52:30,28302019,58(강화),>,1,1,93,,0,0,0,0
252,,13:50:00,28302019,58(강화),>,1,1,93,,0,0,0,0
253,,15:47:30,28302019,58(강화),>,1,1,93,,0,0,0,0
254,,17:45:00,28302019,58(강화),>,1,1,93,,0,0,0,0
255,,11:30:00,28302020,59(강화),>,1,1,94,,0,0,0,0
256,,15:30:00,28302020,59(강화),>,1,1,94,,0,0,0,0
257,,19:30:00,28302020,59(강화),>,1,1,94,,0,0,0,0
258,,23:30:00,28302020,59(강화),>,1,1,94,,0,0,0,0
