$LINEROUTEITEM:LINENAME,LINEROUTENAME,DIRECTIONCODE,INDEX,ISROUTEPOINT,NODENO,STOPPOINTNO,POSTLENGTH,ADDVAL
28(강화)_신설,28(강화)_신설,>,1,1,,4349,0km,0
28(강화)_신설,28(강화)_신설,>,2,0,7298,,0km,0
28(강화)_신설,28(강화)_신설,>,3,0,391,,0km,0
28(강화)_신설,28(강화)_신설,>,4,0,4937,,0km,0
28(강화)_신설,28(강화)_신설,>,5,0,411,,0km,0
28(강화)_신설,28(강화)_신설,>,6,0,386,,0km,0
28(강화)_신설,28(강화)_신설,>,7,1,,2962,0km,0
28(강화)_신설,28(강화)_신설,>,8,0,7296,,0km,0
28(강화)_신설,28(강화)_신설,>,9,0,5061,,0km,0
28(강화)_신설,28(강화)_신설,>,10,0,371,,0km,0
28(강화)_신설,28(강화)_신설,>,11,1,,3794,0km,0
28(강화)_신설,28(강화)_신설,>,12,0,7290,,0km,0
28(강화)_신설,28(강화)_신설,>,13,0,352,,0km,0
28(강화)_신설,28(강화)_신설,>,14,0,5704,,0km,0
28(강화)_신설,28(강화)_신설,>,15,0,348,,0km,0
28(강화)_신설,28(강화)_신설,>,16,1,,2945,0km,0
28(강화)_신설,28(강화)_신설,>,17,0,7063,,0km,0
28(강화)_신설,28(강화)_신설,>,18,1,,3932,0km,0
28(강화)_신설,28(강화)_신설,>,19,0,7061,,0km,0
28(강화)_신설,28(강화)_신설,>,20,0,5063,,0km,0
28(강화)_신설,28(강화)_신설,>,21,1,,2726,0km,0
28(강화)_신설,28(강화)_신설,>,22,0,7059,,0km,0
28(강화)_신설,28(강화)_신설,>,23,0,330,,0km,0
28(강화)_신설,28(강화)_신설,>,24,0,318,,0km,0
28(강화)_신설,28(강화)_신설,>,25,1,,3065,0km,0
28(강화)_신설,28(강화)_신설,>,26,0,7051,,0km,0
28(강화)_신설,28(강화)_신설,>,27,0,312,,0km,0
28(강화)_신설,28(강화)_신설,>,28,1,,3547,0km,0
28(강화)_신설,28(강화)_신설,>,29,0,7049,,0km,0
28(강화)_신설,28(강화)_신설,>,30,1,,3436,0km,0
28(강화)_신설,28(강화)_신설,>,31,0,7047,,0km,0
28(강화)_신설,28(강화)_신설,>,32,0,297,,0km,0
28(강화)_신설,28(강화)_신설,>,33,1,,3186,0km,0
28(강화)_신설,28(강화)_신설,>,34,0,7045,,0km,0
